排名,球员,球队,场次,得分,二分,三分,罚球,篮板,前篮板,后篮板,助攻,抢断,扣篮,盖帽,失误,犯规,效率
1,琼斯,吉林,20,38.0,10.1-17.6,2.7-9.3,9.8-12.1,8.0,2.1,6.0,8.5,1.7,0.2,0.5,3.5,3.9,36.85
2,布莱克尼,江苏,4,36.3,9.8-18.3,3.3-7.0,7.0-9.8,6.5,0.5,6.0,3.3,1.5,1.3,1.0,4.3,2.0,29.25
3,亚当斯,青岛,20,36.2,8.1-13.7,4.0-12.0,8.1-9.2,8.3,0.9,7.4,5.7,2.7,0.1,0.3,4.1,2.3,34.15
4,德兹明-威尔斯,广厦,3,35.3,12.0-18.7,2.3-4.7,4.3-6.7,8.7,0.0,8.7,5.7,3.0,0.7,1.0,5.3,3.3,37.00
5,约瑟夫-杨,同曦,22,34.8,9.3-15.8,3.4-8.5,6.0-6.8,4.5,0.6,3.8,6.8,1.8,0.8,0.0,3.8,1.4,31.73
6,汉斯布鲁,四川,7,33.1,10.0-18.3,0.3-1.4,12.3-14.0,13.7,4.9,8.9,0.9,2.3,2.1,0.7,1.7,3.3,37.86
7,吉布森,江苏,14,30.9,4.4-9.9,4.3-9.9,9.1-10.6,5.1,0.9,4.2,4.3,1.2,0.0,0.1,2.9,3.2,26.21
8,福特森,四川,20,29.6,6.6-12.6,2.5-7.0,9.0-12.0,5.4,1.5,4.0,7.6,1.7,0.0,0.0,3.6,3.8,27.20
9,富兰克林,山西,19,29.1,6.1-10.7,2.8-8.1,8.3-9.9,8.9,1.6,7.3,10.2,2.5,0.4,1.6,3.7,2.8,37.05
10,哈德森,山东,21,28.6,4.6-8.1,4.9-12.1,4.8-5.3,8.0,1.2,6.8,8.0,2.0,0.0,0.4,4.1,3.1,31.33
11,凯弗-赛克斯,广州,15,28.2,8.3-15.3,2.1-6.5,5.1-5.7,5.3,1.3,4.1,6.1,1.5,0.5,0.1,2.5,2.1,26.87
12,布鲁克斯,广东,20,28.0,7.2-11.1,3.5-8.1,3.2-3.9,6.3,1.4,4.9,5.7,2.0,0.7,0.5,3.1,1.8,30.05
