排名,球员,球队,场次,得分,二分,三分,罚球,篮板,前篮板,后篮板,助攻,抢断,扣篮,盖帽,失误,犯规,效率
325,廉明,吉林,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
326,周湛东,青岛,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
327,耿铭旸,吉林,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
328,刘育辰,浙江,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
329,白杰,浙江,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
330,卢鹏羽,深圳,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
331,吴俣成,江苏,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
332,邵英伦,青岛,3,0.0,0.0-0.3,0.0-0.0,0.0-0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,1.3,0.33
333,刘羽楠,新疆,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
334,卫猛,山西,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
335,孙昊锋,北京,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
336,张云梦,天津,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
337,孙晨然,北京,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
338,刘雁宇,辽宁,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
339,张稀然,江苏,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
340,马光翰,山东,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
341,鄢手骐,辽宁,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
342,王冠翔,山东,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
343,王化东,辽宁,3,0.0,0.0-0.7,0.0-1.0,0.0-0.0,1.0,0.3,0.7,0.3,0.0,0.0,0.0,0.3,2.0,-0.67
344,付博文,吉林,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
345,林孝天,浙江,2,0.0,0.0-0.0,0.0-0.5,0.0-0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.5,-0.50
346,孙岩松,浙江,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
347,陈子安,北控,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
348,卢梓杰,辽宁,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
349,陈柏石,深圳,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
350,赵晏满,北京,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
351,李泓澎,同曦,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
352,杜金伦,广厦,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
353,李想,深圳,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
354,朱瀛,上海,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
355,李佳益,北京,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
356,黄旭,上海,1,0.0,0.0-0.0,0.0-1.0,0.0-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00
357,孙锴祺,辽宁,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
358,韩博林,天津,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
359,王润锋,福建,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
360,史文龙,青岛,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
361,李耀强,浙江,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
362,王向彬,北控,1,0.0,0.0-2.0,0.0-0.0,0.0-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00
363,郭治瀚,四川,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
364,关健,天津,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
365,原晨云,广厦,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
366,胡钧淋,四川,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
367,景浩扬,北控,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
368,张昊,青岛,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
369,李盛东,同曦,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
370,唐子豪,上海,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
