排名,球员,球队,场次,得分,二分,三分,罚球,篮板,前篮板,后篮板,助攻,抢断,扣篮,盖帽,失误,犯规,效率
199,李江淮,福建,12,3.9,0.8-1.2,0.7-1.4,0.4-0.5,1.6,0.6,1.0,1.8,0.8,0.0,0.0,0.5,1.9,6.42
200,田嘉夫,山东,10,3.9,0.3-0.9,1.1-2.4,0.0-0.0,1.1,0.2,0.9,0.0,0.1,0.0,0.2,0.3,1.5,3.10
201,王睿,同曦,17,3.9,1.4-2.5,0.3-0.9,0.3-0.6,2.4,0.9,1.5,0.1,0.5,0.1,0.1,0.4,2.9,4.41
202,衡艺丰,广州,16,3.9,0.6-1.6,0.8-2.4,0.4-0.5,0.8,0.1,0.7,0.6,0.3,0.0,0.0,0.3,1.5,2.50
203,付磊,浙江,8,3.9,0.9-1.0,0.6-1.0,0.3-0.4,0.9,0.4,0.5,0.3,0.3,0.1,0.0,0.4,0.9,4.25
204,张彪,吉林,17,3.8,1.6-3.3,0.0-0.0,0.6-0.9,0.8,0.3,0.5,0.5,0.2,0.0,0.1,0.6,1.5,2.88
205,胡林森,四川,11,3.7,0.4-1.5,0.8-3.4,0.5-0.7,1.3,0.2,1.1,0.5,0.4,0.0,0.0,0.6,1.4,1.45
206,王薪凯,广东,17,3.7,0.3-0.6,0.9-2.1,0.3-0.4,0.9,0.1,0.8,0.4,0.3,0.0,0.0,0.5,1.6,3.35
207,李炎哲,广州,9,3.7,1.7-2.4,0.0-0.0,0.3-0.9,2.9,1.3,1.6,0.1,0.1,0.4,0.4,0.6,2.4,5.33
208,刘宇轩,江苏,12,3.7,1.5-2.4,0.2-0.8,0.2-0.2,2.4,1.0,1.4,0.3,0.2,0.0,0.3,1.0,1.4,4.42
209,容子峰,深圳,15,3.7,0.8-1.6,0.5-1.2,0.7-0.9,1.1,0.3,0.9,1.1,1.0,0.0,0.0,1.1,2.1,4.00
210,常林,北京,17,3.6,1.1-2.4,0.2-0.8,0.8-0.9,3.1,1.1,2.1,0.4,0.3,0.0,0.1,0.8,1.9,4.76
211,施宇晨,上海,16,3.6,0.8-2.4,0.6-1.6,0.4-0.6,1.6,0.8,0.9,2.3,0.9,0.0,0.1,0.8,2.2,4.88
212,张卓,北京,7,3.6,1.0-1.4,0.3-0.7,0.7-0.9,1.7,0.4,1.3,0.7,0.3,0.0,0.0,0.6,1.3,4.71
213,,广州,16,3.6,0.8-1.2,0.4-1.6,0.8-1.1,1.7,0.4,1.3,0.1,0.4,0.0,0.0,0.7,0.9,3.25
214,赵大鹏,青岛,14,3.4,0.9-1.9,0.3-1.4,0.9-0.9,2.4,0.8,1.6,0.6,0.8,0.1,0.1,1.1,2.3,4.07
215,冯欣,同曦,6,3.3,0.3-0.8,0.8-1.8,0.2-0.3,1.3,0.3,1.0,1.2,0.2,0.0,0.0,0.8,1.2,3.50
216,缪光旸,八一,7,3.3,1.6-2.6,0.0-0.0,0.1-0.3,0.9,0.6,0.3,0.1,0.1,0.1,0.0,0.7,0.9,2.57
217,徐杰,广东,20,3.3,0.4-0.9,0.8-2.4,0.2-0.2,0.9,0.4,0.5,1.6,0.8,0.0,0.0,0.1,1.9,4.30
218,侯天一,四川,9,3.2,0.8-1.8,0.6-1.8,0.0-0.2,2.2,0.7,1.6,0.2,0.1,0.0,0.1,0.4,2.2,3.00
219,许梦君,北控,20,3.2,0.4-1.0,0.8-2.2,0.3-0.4,0.3,0.1,0.3,0.3,0.2,0.0,0.0,0.6,1.0,1.15
220,潘宁,天津,11,3.1,0.7-1.9,0.4-1.2,0.5-1.2,1.9,0.7,1.2,0.2,0.3,0.0,0.8,1.0,2.0,2.64
221,田野,天津,15,3.1,0.6-1.3,0.5-1.9,0.3-0.4,1.1,0.4,0.7,2.1,0.4,0.0,0.0,1.0,2.3,3.53
222,高尚,北控,9,3.0,0.7-1.7,0.2-1.1,1.0-1.1,1.3,0.8,0.6,0.3,0.4,0.0,0.0,0.3,1.1,2.78
223,朱荣振,山东,10,3.0,1.0-2.0,0.0-0.0,1.0-1.5,1.5,0.8,0.7,0.0,0.0,0.2,0.2,0.7,1.4,2.50
224,汤杰,福建,7,2.9,1.0-2.3,0.1-0.4,0.4-1.0,0.7,0.0,0.7,1.0,0.3,0.0,0.0,1.1,0.6,1.57
225,赵天熠,广厦,14,2.9,1.2-2.9,0.0-0.2,0.4-1.3,1.8,0.4,1.4,0.3,0.5,0.1,0.4,0.6,2.5,2.43
226,赵嘉仁,广厦,5,2.8,0.4-1.4,0.2-1.0,1.4-2.4,2.0,1.0,1.0,0.4,0.2,0.2,0.2,0.4,0.8,2.40
227,白昊天,深圳,8,2.8,1.0-1.9,0.0-0.5,0.8-1.3,1.3,0.0,1.3,1.5,0.1,0.0,0.1,0.3,2.4,3.63
228,刘权标,广东,8,2.8,0.6-1.1,0.4-1.0,0.4-0.5,0.8,0.3,0.5,0.8,0.4,0.0,0.0,0.3,1.5,3.13
229,吴轲,山东,8,2.8,0.9-2.3,0.0-0.5,1.0-1.3,2.6,0.4,2.3,1.8,0.1,0.0,0.4,1.5,2.3,4.00
230,孙鑫,江苏,13,2.7,0.9-2.1,0.2-1.0,0.2-0.2,0.6,0.2,0.4,0.4,0.2,0.0,0.3,0.5,2.4,1.77
231,许家晗,青岛,6,2.7,1.0-1.5,0.2-0.7,0.2-0.3,0.8,0.0,0.8,0.7,0.3,0.0,0.2,0.2,2.3,3.33
232,李安,吉林,17,2.6,1.2-3.1,0.0-0.0,0.2-0.3,2.9,1.1,1.8,0.1,0.2,0.1,0.4,0.4,1.6,3.82
233,李柯七,四川,17,2.6,0.5-1.0,0.5-1.9,0.1-0.2,1.9,0.5,1.4,1.2,0.9,0.0,0.1,0.9,3.4,3.76
234,段江鹏,北京,14,2.5,0.2-0.6,0.5-1.1,0.6-0.6,1.1,0.2,0.9,0.7,0.5,0.0,0.0,0.6,0.5,3.14
235,何忠勉,深圳,16,2.5,0.5-1.2,0.3-1.2,0.6-0.7,1.7,0.0,1.7,0.3,0.6,0.0,0.3,0.8,2.3,2.75
236,刘天意,吉林,10,2.5,1.1-1.7,0.0-0.2,0.3-0.3,1.1,0.4,0.7,0.2,0.3,0.0,0.0,0.4,1.4,2.90
237,周仪翔,北京,16,2.4,0.3-0.8,0.6-1.8,0.1-0.1,0.9,0.3,0.6,0.9,0.2,0.0,0.0,0.2,1.1,2.50
238,刘春庆,山西,5,2.4,1.0-2.2,0.0-0.2,0.4-0.8,0.4,0.2,0.2,1.6,0.0,0.0,0.0,1.0,1.4,1.60
239,孟博龙,北控,6,2.3,0.2-1.2,0.7-1.8,0.0-0.0,1.2,0.5,0.7,1.0,0.5,0.0,0.0,1.2,1.0,1.67
240,余晨,八一,9,2.3,1.1-3.4,0.0-0.3,0.1-0.2,2.3,0.6,1.8,0.8,0.1,0.0,0.0,0.6,3.0,2.22
241,颜鹏,上海,9,2.3,0.2-0.8,0.6-2.0,0.2-0.4,1.9,0.8,1.1,0.3,0.6,0.0,0.1,0.4,1.2,2.56
242,田宇恒,广州,10,2.3,0.6-1.8,0.3-0.9,0.2-0.4,1.2,0.4,0.8,1.1,0.3,0.0,0.1,1.0,1.4,2.00
243,曾繁日,广东,19,2.3,0.9-1.6,0.0-0.0,0.4-0.7,2.3,1.0,1.3,0.2,0.3,0.2,0.3,0.4,2.2,3.89
244,宗赞,北控,8,2.3,0.4-1.3,0.5-1.3,0.0-0.1,1.1,0.5,0.6,0.0,0.3,0.0,0.1,0.3,0.9,1.75
245,张春军,上海,17,2.2,0.5-1.2,0.3-0.8,0.3-0.5,1.4,0.5,0.9,0.6,0.6,0.0,0.1,0.5,1.9,3.00
246,郭旭,辽宁,15,2.2,0.2-0.5,0.5-1.5,0.2-0.2,0.5,0.1,0.3,0.3,0.1,0.0,0.0,0.3,0.4,1.40
247,丘天,北京,20,2.2,0.9-2.0,0.0-0.0,0.4-0.7,1.5,0.5,1.0,0.2,0.0,0.2,0.3,0.4,2.3,2.30
248,苏伟,广东,7,2.1,1.0-1.6,0.0-0.0,0.1-0.1,3.0,1.4,1.6,0.0,0.0,0.0,0.0,1.1,2.0,3.43
249,赵率舟,江苏,9,2.1,0.2-0.7,0.4-2.4,0.3-0.4,1.3,0.1,1.2,0.3,0.3,0.0,0.0,0.3,1.8,1.22
250,李柏润,同曦,11,2.1,0.5-0.9,0.1-0.7,0.7-0.8,0.6,0.2,0.5,0.6,0.4,0.0,0.0,0.5,0.5,2.18
251,侯沛佐,山东,13,2.1,0.2-0.8,0.5-0.5,0.2-0.3,1.8,0.5,1.2,0.6,0.4,0.0,0.1,0.8,1.2,3.38
