,eventid,teamid,shotcoordx,shotcoordy,eventtypeid,quarternum,minutes,seconds,class,quarter,style,event,score,shotevent
30,,29124,0,0,8,4,3,27,"['quarterSet', 'quarter_4']",4,width: 500px;,徐杰个人犯规 (史蒂芬森造成了犯规),97:91,
287,,29124,0,0,8,1,1,0,"['quarterSet', 'quarter_1']",1,width: 500px;,王薪凯在对方投篮时犯规 (史蒂芬森造成了犯规),20:19,
289,,29129,0,0,8,1,1,14,"['quarterSet', 'quarter_1']",1,width: 500px;,贺天举在对方投篮时犯规 (布鲁克斯造成了犯规),19:19,
223,,29129,0,0,8,2,3,43,"['quarterSet', 'quarter_2']",2,width: 500px;,贺天举在对方投篮时犯规 (杜润旺造成了犯规),36:43,
58,,29129,0,0,8,4,6,11,"['quarterSet', 'quarter_4']",4,width: 500px;,高诗岩个人犯规 (徐杰造成了犯规),90:85,
293,,29124,0,0,8,1,1,26,"['quarterSet', 'quarter_1']",1,width: 500px;,徐杰在对方投篮时犯规 (贺天举造成了犯规),17:18,
88,,29124,0,0,8,4,9,22,"['quarterSet', 'quarter_4']",4,width: 500px;,赵睿在对方投篮时犯规 (史蒂芬森造成了犯规),85:80,
299,,29124,0,0,8,1,1,41,"['quarterSet', 'quarter_1']",1,width: 500px;,威姆斯在对方投篮时犯规 (史蒂芬森造成了犯规),17:17,
216,,29129,0,0,8,2,2,53,"['quarterSet', 'quarter_2']",2,width: 500px;,史蒂芬森进攻犯规 (布鲁克斯造成了犯规),40:45,
64,,29129,0,0,8,4,6,35,"['quarterSet', 'quarter_4']",4,width: 500px;,巴斯个人犯规 (曾繁日造成了犯规),90:85,
133,,29124,0,0,8,3,2,58,"['quarterSet', 'quarter_3']",3,width: 500px;,易建联在对方投篮时犯规 (巴斯造成了犯规),71:62,
168,,29124,0,0,8,3,7,33,"['quarterSet', 'quarter_3']",3,width: 500px;,曾繁日在对方投篮时犯规 (巴斯造成了犯规),57:51,
21,,29124,0,0,8,4,2,8,"['quarterSet', 'quarter_4']",4,width: 500px;,赵睿在对方投篮时犯规 (郭艾伦造成了犯规),99:93,
313,,29124,0,0,8,1,3,31,"['quarterSet', 'quarter_1']",1,width: 500px;,苏伟个人犯规 (李晓旭造成了犯规),13:13,
208,,29129,0,0,8,2,1,15,"['quarterSet', 'quarter_2']",2,width: 500px;,刘志轩在对方投篮时犯规 (威姆斯造成了犯规),45:45,
141,,29129,0,0,8,3,3,56,"['quarterSet', 'quarter_3']",3,width: 500px;,赵继伟个人犯规 (赵睿造成了犯规),67:62,
24,,29124,0,0,8,4,2,36,"['quarterSet', 'quarter_4']",4,width: 500px;,威姆斯在对方投篮时犯规 (韩德君造成了犯规),99:93,
