球队,场均净胜分MOV,Pace,OffensiveRating,DefensiveRating,NetRating
广东,17.17241379310345,97.36610601498315,127.49980255064375,109.3946124536319,18.105190097011857
新疆,10.0,95.63021019563426,123.40769444358351,112.84067473587605,10.567019707707459
青岛,6.321428571428571,95.76922815282255,121.46954190190009,114.72123401846119,6.748307883438898
浙江,6.0,92.55677347243846,123.94085947323153,117.36193648716007,6.578922986071461
山东,5.551724137931035,91.62284497091821,118.79946828181748,112.60758922925271,6.191879052564772
山西,4.689655172413793,91.10067552277584,118.04398494965412,112.78899904027509,5.25498590937903
辽宁,4.379310344827586,94.97058411257925,118.60001314144439,113.89895144701134,4.701061694433051
广厦,3.793103448275862,94.23309888064729,113.42664021527669,109.32238678643442,4.10425342884227
吉林,3.2413793103448274,92.371148358644,118.9084233871785,115.32362807018211,3.5847953169963915
北控,2.310344827586207,93.04827407791838,112.92466582105054,110.40184067599871,2.5228251450518258
北京,1.9655172413793103,88.29897635824251,111.7122539437245,109.43322800428561,2.2790259394388954
福建,-1.206896551724138,94.95105128591133,119.76236348245489,121.05649214003004,-1.2941286575751576
深圳,-3.413793103448276,92.50152179385537,110.01418168516481,113.7854434534582,-3.7712617682933853
同曦,-3.6551724137931036,92.91423496078869,115.74635447237927,119.77165420140557,-4.025299729026301
江苏,-5.0344827586206895,94.63275507910532,110.85810910146425,116.26040680801091,-5.402297706546662
上海,-7.068965517241379,93.33625972110752,108.96308212127977,116.68428220246274,-7.721200081182971
广州,-7.586206896551724,91.51323544829518,116.36347682209825,124.76793017103506,-8.404453348936812
四川,-8.655172413793103,93.0312105461155,110.44326426255738,119.92385910862507,-9.480594846067689
天津,-14.0,91.3141304428742,107.76064712005228,123.27512326570522,-15.514476145652935
八一,-14.241379310344827,92.64095545379593,104.46402470071882,120.19839457723118,-15.73436987651236
