球员,球队,OffensiveRating,DefensiveRating,NetRating,UsagePercent,号码,出场时间,首发,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,得分,Game_ID,2分中,2分投,3分中,3分投,罚球中,罚球投,出场
李炎哲,广州,122.98759060392265,130.74478385302095,-7.757193249098293,16.08255470236477,377,160,0,22,19,1,38,2,10,7,5,20,61,58556858004194,27,39,0,0,7,14,15
尼克尔森,广州,123.21605131490449,131.1035420425216,-7.88749072761712,29.945647445796858,1144,850,22,54,204,26,61,22,49,18,16,130,645,52499252003965,160,287,74,151,103,131,25
亨特,广州,115.59421904272244,126.14492498247651,-10.550705939754067,30.796955128258748,51,566,16,32,71,56,53,37,34,5,4,119,398,34326434002944,119,204,21,73,97,131,17
贾明儒,广州,116.99437978068417,132.1477281121407,-15.153348331456527,16.1752932164489,319,187,0,1,10,16,20,4,8,0,0,11,76,58556858004194,18,29,11,23,7,11,14
凯弗-赛克斯,广州,111.40331700249928,129.6670967563069,-18.263779753807626,34.18912639405204,420,538,12,19,61,91,31,22,37,2,8,105,423,30288030001479,125,230,32,97,77,85,15
司坤,广州,104.33386537874519,128.72914659126815,-24.39528121252296,17.272185881841942,174,199,4,16,11,6,23,10,16,0,0,17,68,58556858004194,10,25,10,23,18,22,13
刘丰搏,广州,104.17919953254835,130.41409540305955,-26.234895870511195,14.120206103569872,870,596,16,12,39,17,62,20,13,4,1,17,176,58556858004194,28,50,37,113,9,10,28
陈盈骏,广州,103.80818066522228,131.34201432237163,-27.533833657149344,19.381005061723478,261,942,27,17,67,118,86,27,46,0,0,93,380,58556858004194,93,195,38,109,80,94,27
张永鹏,广州,103.33670998223221,132.1577195481152,-28.821009565883003,9.983760661715836,957,548,15,17,96,32,93,6,18,12,4,38,110,58556858004194,43,82,0,1,24,37,26
衡艺丰,广州,99.36536961194365,131.43136159824957,-32.06599198630592,13.327753235744135,232,337,1,2,13,11,31,9,6,1,0,10,90,58556858004194,15,35,17,50,9,12,21
孙鸣阳,广州,98.98422906350378,131.08090099531657,-32.09667193181279,16.549053751019297,783,640,10,34,94,31,104,13,33,14,3,36,200,58556858004194,32,86,35,90,31,41,28
谷玥灼,广州,93.39938918965731,130.96162190865007,-37.56223271899276,13.689008520842116,348,247,0,7,21,3,18,8,12,0,0,15,62,58556858004194,14,22,7,31,13,17,21
姚天一,广州,92.17641003351828,130.14929638289183,-37.97288634937355,14.300677219179585,29,470,10,11,31,52,52,18,17,0,0,10,119,58556858004194,24,54,22,70,5,7,25
