球员,球队,OffensiveRating,DefensiveRating,NetRating,UsagePercent,号码,出场时间,首发,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,得分,Game_ID,2分中,2分投,3分中,3分投,罚球中,罚球投,出场
福特森,四川,111.01915404122302,124.02760820663144,-13.008454165408423,32.65166170078761,116,1036,24,43,134,209,104,43,99,0,0,326,795,58556858004210,179,345,59,176,260,341,29
托马斯-罗宾逊,四川,110.11041779704338,123.55885409295333,-13.448436295909943,26.968155155517742,533,306,2,51,81,12,36,15,21,10,18,49,182,26249626000850,72,136,0,4,38,60,11
陈辰,四川,106.12482566338586,125.63465141369588,-19.509825750310014,15.844962345512263,928,864,24,26,84,41,82,23,32,2,2,28,308,58556858004210,44,96,66,170,22,31,29
李原宇,四川,94.13665987557751,123.3119285297588,-29.175268654181295,18.309170303571076,435,1003,27,59,155,43,105,39,62,18,4,65,352,58556858004210,103,223,34,104,44,66,27
孟达,四川,92.60063053382956,123.49619922663294,-30.89556869280338,15.472564857497698,348,663,5,3,28,54,46,30,32,2,0,11,205,58556858004210,30,74,46,124,7,8,26
于刚,四川,93.71270323746683,127.08747816312878,-33.37477492566195,8.123689991277018,2233,69,3,8,8,4,9,1,1,0,0,2,7,58556858004210,2,10,0,0,3,4,7
莫蒙尘,四川,86.25506122496533,125.38383548315099,-39.12877425818566,15.09461037531209,290,476,16,12,21,19,57,14,25,0,0,19,128,58556858004210,14,45,29,83,13,24,21
侯天一,四川,83.06486686421528,127.13543498138574,-44.07056811717047,15.005850641362118,406,226,2,10,35,3,40,2,12,2,0,5,57,58556858004210,13,29,10,34,1,5,16
左朕年,四川,78.03273853211027,126.55874010750247,-48.5260015753922,16.95055204617041,377,348,5,9,28,12,27,7,9,0,0,24,88,58556858004210,21,61,8,48,22,37,19
李柯七,四川,73.87874056150501,122.6122593016373,-48.73351874013228,9.498635958036411,442,344,2,9,27,23,61,16,19,2,0,10,47,52499252004169,9,17,9,36,2,4,22
张松涛,四川,76.7388841500086,126.07775911945168,-49.33887496944308,12.775041085155701,1131,111,8,10,8,5,19,2,10,1,0,14,19,58556858004210,6,17,0,0,7,12,13
胡林森,四川,71.5322634397549,125.80780770106976,-54.27554426131486,15.461164277073925,232,189,8,2,13,6,16,5,7,0,0,5,41,58556858004210,4,18,9,38,6,8,12
袁堂文,四川,68.01528715590867,122.63922137087378,-54.62393421496512,14.080567945602319,87,151,2,5,6,33,19,8,13,0,0,15,26,58556858004210,8,21,2,10,4,10,13
闵庆飞,四川,,128.16686736775597,,21.96452231183833,203,18,0,2,3,1,7,0,0,0,0,2,4,58556858004210,2,6,0,3,0,0,4
胡钧淋,四川,,,,,58,0,0,0,0,0,0,0,0,0,0,0,0,58556858004210,0,0,0,0,0,0,0
郭治瀚,四川,,,,,319,0,0,0,0,0,0,0,0,0,0,0,0,58556858004210,0,0,0,0,0,0,0
于长春,同曦,125.12296603636226,126.18891806923308,-1.0659520328708254,16.063698620019142,174,417,1,14,31,10,41,9,12,1,0,22,176,58556858004181,23,34,39,95,13,16,20
雅克查理,同曦,116.54961824948296,121.83791285139029,-5.2882946019073245,20.212841906850244,1056,373,11,11,46,35,21,17,8,2,0,33,177,24230424001046,34,63,29,78,22,31,11
宋建骅,同曦,117.31332837629273,123.8643417162553,-6.551013339962566,14.365419838775601,232,857,26,35,79,45,72,33,37,10,0,55,296,58556858004181,45,77,52,133,50,57,27
约瑟夫-杨,同曦,116.03334187262746,123.41251002352647,-7.379168150899005,35.94055492166977,87,1136,27,22,100,199,38,56,109,0,22,218,999,58556858004181,273,469,90,235,183,203,28
郭一飞,同曦,113.26409358295975,125.17207359871081,-11.907980015751065,12.181076808411422,290,478,18,26,33,11,73,14,15,1,0,36,130,58556858004181,29,52,19,52,15,22,26
王睿,同曦,112.36085170808832,125.15556778626012,-12.794716078171803,13.979765714976553,609,460,14,30,48,8,89,13,16,1,1,22,143,58556858004181,41,74,16,42,13,23,26
亚布塞莱,同曦,108.8441265463014,123.56567361263676,-14.721547066335361,28.783986572761094,260,388,0,20,76,23,30,16,30,17,14,45,253,40384040003782,64,116,26,78,47,61,14
卢伟,同曦,106.50658487792384,123.40235866364775,-16.895773785723904,15.225973993434037,348,257,1,4,17,9,17,12,11,1,0,14,87,58556858004181,8,23,20,45,11,17,17
哈达迪,同曦,99.6993587336958,120.98678227109633,-21.287423537400528,23.040987105139425,390,811,20,88,286,130,100,21,102,67,28,110,362,52499252003534,131,229,6,29,82,119,26
买尔丹,同曦,104.12986876484547,126.04283521132491,-21.912966446479444,7.21630276068404,957,309,6,22,31,21,87,4,18,4,0,24,44,58556858004181,18,26,0,0,8,12,28
何敬佳,同曦,100.48347803885041,125.67153177336915,-25.188053734518746,13.636282954950868,580,498,14,23,29,30,60,11,22,5,0,27,135,58556858004181,57,102,1,12,18,32,24
乔文瀚,同曦,100.23729681479409,126.99980749621781,-26.76251068142372,17.292557098681684,261,341,5,17,21,17,46,4,15,2,0,24,113,58556858004181,27,63,12,40,23,28,23
李盛东,同曦,96.49808340905034,124.3669690031759,-27.868885594125558,18.536211186079726,2233,58,0,4,6,2,15,2,2,0,0,2,19,58556858004181,5,10,2,10,3,4,5
冯欣,同曦,97.76570525866414,126.97627142516717,-29.21056616650303,15.23128298600273,319,65,0,2,6,7,7,1,5,0,0,2,20,58556858004181,2,5,5,11,1,2,6
李柏润,同曦,88.3859967877353,124.8775375364585,-36.49154074872321,18.06349052876896,145,202,1,8,17,11,18,7,15,0,0,26,61,58556858004181,15,30,2,22,25,31,18
张韩,同曦,,127.47245290154501,,67.8724904540798,841,2,0,0,2,0,1,0,1,0,0,0,0,58556858004181,0,1,0,1,0,0,1
李泓澎,同曦,,127.1886479350625,,13.532209934769805,203,107,1,0,12,2,11,1,5,1,0,1,29,58556858004181,4,4,7,23,0,0,5
孙思尧,同曦,,122.34647473756291,,10.522866737066636,696,43,0,1,5,1,4,2,1,1,0,1,4,58556858004181,2,6,0,3,0,0,4
孔德高,吉林,129.80272456887718,120.30843798028128,9.494286588595898,11.514915774748847,203,22,0,0,3,0,3,1,0,0,0,5,7,58556858004235,2,3,0,0,3,6,3
姜宇星,吉林,127.75693917986504,118.75883913504352,8.998100044821527,12.437955115410078,377,998,29,39,76,64,89,57,36,7,2,88,338,58556858004235,113,174,14,25,70,94,29
霍尔曼,吉林,125.80930390767926,119.57670748321603,6.232596424463239,22.20150427492103,928,770,2,95,196,27,94,23,49,39,49,76,438,58556858004235,181,292,0,0,76,90,29
代怀博,吉林,122.51032729225975,123.36085328484559,-0.8505259925858439,14.890960263237368,1044,583,5,16,54,16,51,9,21,6,3,17,227,58556858004235,15,33,62,134,11,12,29
刘天意,吉林,118.1899641067282,121.54556771467935,-3.355603607951153,15.83772729302425,29,119,0,7,10,3,21,4,5,0,0,7,45,58556858004235,18,27,0,6,9,9,16
琼斯,吉林,113.01411177942104,118.85279955516361,-5.838687775742571,41.031430388509904,1485,1071,27,56,159,240,94,52,103,15,3,272,1005,54518454003815,266,471,71,253,260,326,27
姜伟泽,吉林,111.31742755057368,120.5766529400988,-9.259225389525113,18.190501649720314,319,730,1,16,43,38,39,33,19,0,0,34,301,58556858004235,24,70,76,193,25,31,29
崔晋铭,吉林,104.23521940370419,122.60493444618302,-18.36971504247883,16.7858249998662,145,983,28,25,81,71,66,24,42,6,0,83,349,58556858004235,107,207,21,77,72,94,29
鲍勒斯,吉林,110.37358805765174,130.69449003059873,-20.320901972946984,24.663399355043694,48,69,0,5,11,14,7,1,7,0,3,10,45,4038404000420,16,25,1,3,10,16,2
李安,吉林,99.56902180098909,122.38469472533208,-22.81567292434299,11.823848275526696,116,327,15,24,50,2,38,6,11,7,2,8,70,58556858004235,32,72,0,0,6,7,24
张彪,吉林,97.80693946925182,122.05679898564347,-24.249859516391652,19.11809952862104,406,337,14,12,16,12,57,9,21,2,0,27,130,58556858004235,56,111,0,0,18,26,25
钟诚,吉林,86.00955612236932,116.5654816547211,-30.55592553235178,12.042076867310126,348,679,22,25,107,53,99,45,30,18,2,21,131,58556858004235,31,73,20,72,9,16,29
夏钰博,吉林,86.85522666957198,125.5353233923151,-38.68009672274313,16.16988172624306,435,8,0,0,2,0,1,0,0,0,0,1,2,58556858004235,0,0,0,2,2,2,2
郭金林,吉林,17.986844055423415,125.41487616158601,-107.42803210616259,44.018011365883886,609,6,0,0,1,0,1,0,3,0,0,1,1,58556858004235,0,2,0,0,1,2,4
柴长易,吉林,,122.46976487703765,,16.1860677940371,174,111,2,3,9,3,13,3,7,0,0,4,29,58556858004235,4,10,7,23,0,0,17
付博文,吉林,,,,,87,0,0,0,0,0,0,0,0,0,0,0,0,58556858004235,0,0,0,0,0,0,0
廉明,吉林,,,,,1276,0,0,0,0,0,0,0,0,0,0,0,0,58556858004235,0,0,0,0,0,0,0
耿铭旸,吉林,,,,,957,0,0,0,0,0,0,0,0,0,0,0,0,58556858004235,0,0,0,0,0,0,0
弗格,北控,121.41603190975007,112.23766008191338,9.178371827836699,28.12884975133458,522,1010,28,32,157,172,84,66,89,9,0,244,733,58556858004239,135,243,73,183,244,290,28
摩尔特里,北控,124.15404099852896,119.63301567693766,4.521025321591296,24.77278068003109,25,147,0,26,29,3,14,4,8,3,7,16,89,10096010001340,36,66,0,0,17,23,5
宗赞,北控,112.70629001610834,112.70750222652465,-0.0012122104163125869,24.878866502612777,377,88,0,7,18,1,14,4,5,3,0,11,51,58556858004239,9,20,9,21,6,8,14
王少杰,北控,110.71462629621156,111.62388374401925,-0.9092574478076898,15.689580543287168,406,695,29,54,85,8,84,31,33,38,22,71,244,58556858004239,94,172,2,6,50,81,29
桑尼,北控,112.76918582389372,115.73032884484323,-2.961143020949507,22.597342371909747,203,802,26,98,171,42,71,27,49,9,3,117,398,58556858004239,144,282,3,27,101,118,26
贾森-汤普森,北控,110.1355772255273,113.56825295426961,-3.4326757287423106,19.947546225383324,144,704,1,66,195,33,89,28,42,15,16,82,316,48460848002899,134,235,1,8,45,71,24
孙桐林,北控,103.24076976774583,112.99385267701307,-9.753082909267235,13.23456053939079,1595,399,2,32,58,20,51,20,25,9,0,31,109,58556858004239,43,67,2,16,17,26,28
高尚,北控,103.7409842343141,115.00117776837804,-11.260193534063944,16.27777210590981,783,88,0,7,5,3,10,4,3,0,0,7,27,58556858004239,6,15,2,10,9,10,9
孙悦,北控,99.0949398538655,114.17852829627152,-15.083588442406025,17.779894014258723,261,1001,28,15,84,128,81,36,45,32,6,44,359,58556858004239,52,122,68,203,51,74,28
许梦君,北控,101.17975079109978,118.06745574938721,-16.88770495828743,18.151410463046073,551,303,3,1,7,7,24,6,16,0,0,9,121,58556858004239,14,32,29,72,6,10,29
张帆,北控,98.93938666132583,116.89520849286014,-17.95582183153431,18.930121425817703,87,619,1,8,34,47,49,18,38,1,0,17,249,58556858004239,51,114,46,106,9,16,29
王子瑞,北控,85.8574911077446,116.46011543101807,-30.602624323273474,17.736189599803616,29,821,26,18,43,70,67,26,60,3,0,46,257,58556858004239,88,175,17,75,30,44,28
陈金龙,北控,86.88377637266048,117.58100813304527,-30.697231760384796,13.244948517041225,957,96,1,1,6,4,19,2,1,0,0,5,21,58556858004239,6,14,2,12,3,4,16
王向彬,北控,82.00856471139589,120.59732406140421,-38.58875935000832,43.32700822264389,667,6,0,2,0,1,0,0,0,0,0,1,3,58556858004239,1,5,0,0,1,2,2
孟博龙,北控,66.08776837347293,110.28041604827168,-44.19264767479875,26.078400465138344,116,71,0,4,6,13,13,6,12,0,0,7,22,58556858004239,1,11,6,18,2,2,11
于梁,北控,,,,,319,0,0,0,0,0,0,0,0,0,0,0,0,58556858004239,0,0,0,0,0,0,0
常亚松,北控,,,,,464,0,0,0,0,0,0,0,0,0,0,0,0,58556858004239,0,0,0,0,0,0,0
景浩扬,北控,,,,,348,0,0,0,0,0,0,0,0,0,0,0,0,58556858004239,0,0,0,0,0,0,0
王征,北控,,,,,812,0,0,0,0,0,0,0,0,0,0,0,0,58556858004239,0,0,0,0,0,0,0
班铎,北控,,,,,841,0,0,0,0,0,0,0,0,0,0,0,0,58556858004239,0,0,0,0,0,0,0
陈子安,北控,,,,,580,0,0,0,0,0,0,0,0,0,0,0,0,58556858004239,0,0,0,0,0,0,0
尤度,北京,117.70337600010149,107.83589237193236,9.867483628169126,24.23817771993176,135,510,0,49,126,37,45,30,30,68,37,57,281,30288030002910,117,191,1,4,44,65,15
赵晏满,北京,115.02003122174533,106.96750363975026,8.052527581995065,24.02762652605032,29,18,1,2,3,0,6,2,2,0,2,2,10,58556858004210,4,6,0,0,2,2,3
汉密尔顿,北京,119.14052917852081,113.63380390362676,5.506725274894052,26.80039724640305,779,666,6,51,143,42,43,22,30,35,23,84,414,38364838002518,150,250,9,44,87,99,19
朱彦西,北京,116.34336087966255,117.48339742023069,-1.1400365405681328,14.005255714947248,377,593,9,10,49,24,42,16,8,4,0,13,196,58556858004210,13,25,55,134,5,8,20
周仪翔,北京,116.4303103261018,118.20191947778606,-1.7716091516842596,10.829765420601426,783,399,3,7,16,21,34,9,6,1,0,9,99,58556858004210,16,33,18,44,13,13,25
翟晓川,北京,113.18471539998156,115.92951622330095,-2.7448008233193946,19.736836645672902,580,978,27,31,131,74,85,35,54,15,5,108,434,58556858004210,116,182,32,104,106,128,27
王骁辉,北京,112.05404922537492,115.78430592536603,-3.730256699991102,11.08244367151041,2233,456,12,10,26,14,60,19,8,1,0,9,113,58556858004210,10,21,30,73,3,4,25
林书豪,北京,108.4176850696128,114.10155050753596,-5.68386543792316,33.4507418246173,168,786,23,22,113,132,85,43,81,4,0,220,561,48460848002992,140,276,34,89,179,211,23
段江鹏,北京,106.98363971926884,115.30112592568022,-8.317486206411388,15.18273749950399,319,208,0,7,17,12,13,10,16,0,0,15,70,58556858004210,6,14,16,30,10,11,19
张卓,北京,96.55798980967643,117.77854120958595,-21.220551399909525,14.603958684907004,638,131,6,5,14,6,17,3,6,1,0,9,35,58556858004210,11,20,2,8,7,12,15
丘天,北京,93.3601337117343,118.3102577436012,-24.950124031866892,14.694888191993712,551,210,22,11,22,4,54,1,7,7,4,11,52,58556858004210,21,48,0,0,10,19,23
常林,北京,90.99739562560625,117.9177233821104,-26.92032775650415,16.17117628579285,609,316,14,23,47,10,50,6,22,4,0,19,83,58556858004210,21,51,9,24,14,18,22
方硕,北京,88.442584427673,117.50753654050578,-29.064952112832785,19.58465307566087,232,796,16,9,79,123,72,22,49,3,0,41,267,58556858004210,65,152,37,105,26,32,26
刘晓宇,北京,75.65848191403954,116.53228985431777,-40.873807940278226,18.60688460993143,290,570,6,9,45,63,64,21,49,0,0,50,153,58556858004210,45,101,12,44,27,54,26
张才仁,北京,75.98232690463891,120.97276921667284,-44.990442312033935,13.793156416575915,464,100,0,1,7,4,12,0,5,0,0,3,20,58556858004210,7,20,1,2,3,3,15
王旭,北京,37.00758612990623,116.84686704006933,-79.8392809101631,19.76929661447738,116,61,0,1,5,9,11,2,8,0,0,5,6,58556858004210,0,5,1,10,3,4,7
孙昊锋,北京,,,,,58,0,0,0,0,0,0,0,0,0,0,0,0,58556858004210,0,0,0,0,0,0,0
孙晨然,北京,,,,,174,0,0,0,0,0,0,0,0,0,0,0,0,58556858004210,0,0,0,0,0,0,0
李佳益,北京,,,,,741,0,0,0,0,0,0,0,0,0,0,0,0,38364838003695,0,0,0,0,0,0,0
宁鸿宇,八一,117.83958616851886,123.35303402941304,-5.513447860894175,19.338163488471366,464,306,5,15,25,6,38,8,18,8,2,28,146,58556858004231,22,51,23,47,33,37,24
付豪,八一,114.05126868206679,125.38306469107444,-11.331796009007647,25.961562663749966,29,920,21,113,167,17,90,16,38,9,2,145,536,58556858004231,205,420,0,2,126,168,29
韩硕,八一,104.20329603290833,121.99818339438062,-17.79488736147229,18.99618065214613,957,224,0,7,39,21,15,12,15,0,0,27,93,58556858004231,13,27,17,43,16,23,11
阿尔斯兰,八一,103.29146123217929,122.86259076462268,-19.571129532443393,22.467932386702948,145,622,4,11,29,69,57,27,35,2,0,64,299,58556858004231,45,100,52,151,53,60,27
雷蒙,八一,102.81999378628512,122.77191780898787,-19.95192402270274,20.68793656385676,319,634,19,28,65,44,45,29,28,1,0,54,273,58556858004231,68,140,31,101,44,55,19
刘航初,八一,102.35599554691966,124.16144874310062,-21.805453196180963,21.831106491360668,261,529,14,25,66,22,52,14,28,7,0,56,240,58556858004231,65,135,20,67,50,64,23
郭昊文,八一,97.48037320816181,121.77754330405236,-24.29717009589055,25.51637459414591,174,404,2,15,41,33,54,20,32,3,6,83,203,58556858004231,48,109,10,45,77,101,19
罗凯文,八一,98.22607541621372,123.38100471243338,-25.154929296219663,18.878274469236576,493,558,10,20,54,17,50,19,23,7,1,32,209,58556858004231,48,106,27,88,32,42,27
田宇翔,八一,94.1339067489665,120.39788578681137,-26.263979037844877,17.609766570347592,203,693,24,11,55,62,57,42,32,9,0,41,237,58556858004231,74,173,18,48,35,45,26
王俊杰,八一,94.30979082089024,122.50186226871884,-28.192071447828596,16.83278477920865,87,624,19,21,69,60,60,29,32,2,3,68,201,58556858004231,65,139,9,33,44,70,29
缪光旸,八一,95.87336775646381,126.46949909658727,-30.596131340123463,20.99689623264332,609,79,0,6,2,2,8,1,6,0,1,6,33,58556858004231,15,28,0,0,3,7,9
张祖铭,八一,89.7140942811065,123.84558079412989,-34.13148651302339,16.83289812289888,580,253,10,27,17,11,27,7,11,4,0,25,66,58556858004231,12,30,7,41,21,30,15
马泳,八一,86.65694767610142,121.33644108302485,-34.67949340692343,16.9260694120288,725,98,0,6,7,6,16,5,8,1,0,7,28,58556858004231,8,17,2,9,6,7,10
许钟豪,八一,84.5938734113856,123.54960264244625,-38.955729231060644,13.885079137549578,783,566,17,39,91,28,75,12,23,18,4,49,121,58556858004231,48,128,0,4,25,47,28
邹雨宸,八一,70.54115251957609,123.25413419839859,-52.7129816788225,19.235829693174043,290,16,0,1,5,1,6,0,2,1,0,1,4,58556858004231,1,4,0,0,2,2,1
余晨,八一,71.1900395770443,127.02662059134697,-55.836581014302666,15.275999118954754,435,216,0,9,26,13,42,1,9,0,0,12,43,58556858004231,20,59,0,4,3,4,16
张旭,八一,62.46117687060472,123.83021137089261,-61.369034500287896,13.055843064789963,377,27,0,1,0,0,2,1,2,0,0,1,4,58556858004231,1,4,0,1,2,2,5
石颜博,八一,,124.04418536834655,,11.544383911882397,522,31,0,2,2,0,5,1,1,0,0,1,6,58556858004231,3,6,0,1,0,0,5
贾里德-康宁汉姆,上海,117.70800731380848,115.16566324196637,2.542344071842109,30.53105373342638,8,70,0,0,2,5,5,5,3,0,2,12,56,4038404000558,15,25,3,15,17,21,2
纳纳利,上海,121.09251413386023,118.94139543431332,2.151118699546913,26.918134664317872,252,390,0,17,49,40,17,14,18,1,2,53,268,24230424000710,60,124,31,62,55,65,12
黄旭,上海,116.33867718318804,119.10100960408367,-2.762332420895632,11.545716465075735,493,15,0,0,1,1,1,1,0,0,0,2,4,58556858004210,1,1,0,2,2,2,2
王潼,上海,105.68314848350131,117.32490088645537,-11.641752402954054,16.00849373575101,725,385,18,27,50,13,44,26,24,11,18,27,139,58556858004210,60,94,1,6,16,32,23
董瀚麟,上海,107.54745358310728,121.49466328625613,-13.947209703148843,17.452424773801706,290,791,9,69,113,38,89,29,47,13,28,83,301,58556858004210,114,213,0,0,73,112,26
罗汉琛,上海,104.99914212608603,123.55801615776328,-18.55887403167725,19.324215352535777,957,634,10,10,38,61,40,17,29,1,0,55,273,58556858004210,65,133,30,83,53,67,27
莫泰尤纳斯,上海,101.35263322261811,120.29581029786026,-18.943177075242147,29.476357699192565,336,990,26,86,323,95,68,48,92,14,15,215,623,56537656003938,235,412,23,74,84,168,27
雷-麦卡勒姆,上海,103.52691527950553,126.16698427195476,-22.64006899244923,30.99889309561189,352,515,3,11,47,103,29,18,25,1,3,78,344,32307232003214,92,208,30,84,70,94,16
李根,上海,102.3289185242992,125.22778168219084,-22.89886315789164,20.275603757902857,87,306,2,12,11,18,19,3,11,2,0,20,129,58556858004210,32,58,14,59,23,25,14
罗旭东,上海,98.88783668923776,122.17312585358096,-23.285289164343197,16.789035335374013,377,704,25,16,47,71,83,27,35,0,0,67,245,58556858004210,72,153,17,46,50,70,25
鞠明欣,上海,97.53599743918659,122.60063029570549,-25.064632856518898,16.304068563724783,696,387,10,13,26,17,65,11,18,4,4,14,130,58556858004210,40,72,13,43,11,19,27
张春军,上海,93.77773152267955,120.70737158148559,-26.929640058806044,9.642952746920624,261,424,16,19,31,23,62,20,20,3,0,18,77,58556858004210,19,42,10,23,9,15,25
颜鹏,上海,89.56624789637408,119.83523878897658,-30.268990892602503,15.209547237659367,0,160,0,12,17,7,19,8,8,3,0,6,41,58556858004210,5,13,9,30,4,8,17
蔡亮,上海,88.85720749376522,120.95550641940625,-32.09829892564103,13.599471600435109,29,684,8,19,46,32,88,31,29,5,3,58,166,58556858004210,33,97,24,67,28,35,28
施宇晨,上海,84.0541273291758,117.3422537780337,-33.288126448857895,16.07940814769844,319,336,17,14,17,52,48,26,19,2,0,12,86,58556858004210,20,57,11,38,13,16,24
吴永盛,上海,69.57740174298183,116.4168127968322,-46.83941105385037,22.895386804607423,406,34,1,1,1,3,5,3,4,0,0,3,11,58556858004210,5,9,0,4,1,1,6
朱瀛,上海,,126.87386825342386,,0.0,58,2,0,1,0,0,0,0,0,0,0,0,0,58556858004210,0,0,0,0,0,0,1
周彦旭,上海,,,,,32,0,0,0,0,0,0,0,0,0,0,0,0,4038404000558,0,0,0,0,0,0,0
唐子豪,上海,,,,,203,0,0,0,0,0,0,0,0,0,0,0,0,58556858004210,0,0,0,0,0,0,0
孟令源,上海,,,,,145,0,0,0,0,0,0,0,0,0,0,0,0,58556858004210,0,0,0,0,0,0,0
