,球员,号码,出场时间,首发,2分中-投,3分中-投,罚球中-投,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,快攻,得分,Game_ID,球队
0,布鲁克斯,6,36,1,8-10(80%),2-10(20%),5-5(100%),0,3,9,3,2,1,0,1,5,0/0,27,2019202000001,广东
1,任骏飞,20,30,1,5-8(63%),3-6(50%),0-0(0%),1,1,1,3,3,0,0,1,1,0/0,19,2019202000001,广东
2,易建联,9,35,1,7-8(88%),0-0(0%),2-4(50%),1,11,2,2,1,1,2,5,3,0/0,16,2019202000001,广东
3,赵睿,10,31,1,5-9(56%),0-3(0%),0-1(0%),2,5,4,3,2,0,0,0,4,0/0,10,2019202000001,广东
4,胡明轩,3,13,1,0-1(0%),1-3(33%),0-0(0%),0,1,0,1,0,1,0,0,0,0/0,3,2019202000001,广东
5,威姆斯,13,31,0,5-9(56%),1-5(20%),1-2(50%),0,7,3,2,1,3,0,0,3,0/0,14,2019202000001,广东
6,杜润旺,18,14,0,2-2(100%),0-2(0%),2-2(100%),2,0,0,4,0,4,0,0,1,0/0,6,2019202000001,广东
7,曾繁日,22,11,0,2-3(67%),0-0(0%),2-4(50%),1,0,0,3,0,0,1,1,3,0/0,6,2019202000001,广东
8,徐杰,2,20,0,0-1(0%),1-3(33%),2-2(100%),0,0,1,2,2,0,0,0,3,0/0,5,2019202000001,广东
9,王薪凯,5,9,0,0-0(0%),0-1(0%),1-2(50%),0,1,1,1,0,0,0,0,0,0/0,1,2019202000001,广东
10,周鹏,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东
11,李英博,17,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东
12,刘旭乘,14,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东
13,万圣伟,51,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东
14,苏伟,12,3,0,0-0(0%),0-0(0%),0-0(0%),1,1,0,2,0,1,0,0,0,0/0,0,2019202000001,广东
15,方渭博,1,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东
16,刘权标,0,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东
17,广东,--,--,--,34-51(67%),8-33(24%),15-22(68%),8,30,21,26,11,11,3,8,23,0/0,107,2019202000001,广东
18,巴斯,30,30,1,5-15(33%),0-0(0%),10-11(91%),3,9,1,2,1,0,2,2,10,0/0,20,2019202000001,辽宁
19,郭艾伦,13,30,1,4-8(50%),0-2(0%),4-4(100%),0,4,5,4,0,6,0,0,2,0/0,12,2019202000001,辽宁
20,韩德君,55,24,1,4-6(67%),0-0(0%),2-3(67%),3,6,0,4,0,2,1,0,2,0/0,10,2019202000001,辽宁
21,刘志轩,11,16,1,1-1(100%),1-1(100%),0-0(0%),1,1,0,3,0,1,0,0,1,0/0,5,2019202000001,辽宁
22,赵继伟,3,33,1,1-2(50%),0-3(0%),2-2(100%),0,3,1,2,2,0,0,0,2,0/0,4,2019202000001,辽宁
23,史蒂芬森,1,41,0,10-17(59%),3-11(27%),5-7(71%),1,2,3,2,2,3,0,1,6,0/0,34,2019202000001,辽宁
24,丛明晨,10,12,0,0-0(0%),2-2(100%),0-0(0%),1,2,0,1,0,0,0,0,0,0/0,6,2019202000001,辽宁
25,李晓旭,22,28,0,3-8(38%),0-0(0%),0-0(0%),2,2,2,0,1,0,1,0,2,0/0,6,2019202000001,辽宁
26,贺天举,6,12,0,0-0(0%),0-2(0%),1-2(50%),2,0,0,2,0,1,0,0,1,0/0,1,2019202000001,辽宁
27,刘雁宇,17,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,辽宁
28,郭旭,15,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,辽宁
29,孙锴祺,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,辽宁
30,王化东,32,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,辽宁
31,高诗岩,0,9,0,0-1(0%),0-1(0%),0-0(0%),0,1,0,3,1,0,0,0,0,0/0,0,2019202000001,辽宁
32,卢梓杰,28,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,辽宁
33,马壮,8,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,辽宁
34,鄢手骐,36,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,辽宁
35,辽宁,--,--,--,28-58(48%),6-22(27%),24-29(83%),13,30,12,23,7,13,4,3,26,0/0,98,2019202000001,辽宁
36,拉杜利察,13,27,1,4-5(80%),0-0(0%),2-2(100%),3,4,8,5,2,3,0,1,6,0/0,10,2019202000002,江苏
37,易立,8,29,1,3-6(50%),0-4(0%),3-4(75%),0,2,4,3,1,2,1,0,3,0/0,9,2019202000002,江苏
38,黄荣奇,1,13,1,3-3(100%),1-2(50%),0-0(0%),2,1,1,4,0,1,0,0,1,0/0,9,2019202000002,江苏
39,史鸿飞,4,31,1,0-1(0%),2-5(40%),1-2(50%),0,0,3,4,3,3,0,0,4,0/0,7,2019202000002,江苏
40,柳伟,15,14,1,1-4(25%),0-1(0%),0-2(0%),1,2,1,3,0,0,0,0,2,0/0,2,2019202000002,江苏
41,布莱克尼,2,35,0,9-16(56%),3-7(43%),7-8(88%),1,3,3,3,0,3,3,1,6,0/0,34,2019202000002,江苏
42,吴冠希,11,31,0,6-9(67%),0-1(0%),3-5(60%),1,8,0,5,1,2,2,2,5,0/0,15,2019202000002,江苏
43,王洪,9,16,0,1-2(50%),0-1(0%),2-2(100%),0,2,0,1,0,0,0,0,1,0/0,4,2019202000002,江苏
44,赵率舟,24,21,0,0-1(0%),1-2(50%),0-0(0%),1,1,2,3,1,0,0,0,1,0/0,3,2019202000002,江苏
45,侯逸凡,31,16,0,0-0(0%),1-2(50%),0-0(0%),0,0,0,1,0,0,0,0,0,0/0,3,2019202000002,江苏
46,吴俣成,27,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,江苏
47,刘宇轩,21,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,江苏
48,赵旭昕,77,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,江苏
49,蒋浩然,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,江苏
50,刘剑阁,7,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,江苏
51,孙鑫,10,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,江苏
52,张稀然,6,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,江苏
53,江苏,--,--,--,27-47(57%),8-25(32%),18-25(72%),9,23,22,32,8,14,6,4,29,0/0,96,2019202000002,江苏
54,邓蒙,12,37,1,2-8(25%),3-6(50%),10-12(83%),1,2,3,1,0,2,0,0,13,0/0,23,2019202000002,浙江
55,朱旭航,21,36,1,3-4(75%),4-9(44%),0-0(0%),1,5,1,5,2,4,0,0,2,0/0,18,2019202000002,浙江
56,吴前,33,33,1,1-3(33%),0-2(0%),6-8(75%),0,2,6,6,1,3,0,0,6,0/0,8,2019202000002,浙江
57,张大宇,24,28,1,2-5(40%),1-2(50%),0-0(0%),2,5,3,4,2,1,0,0,3,0/0,7,2019202000002,浙江
58,程帅澎,6,14,1,0-0(0%),0-2(0%),0-0(0%),0,1,0,6,0,0,0,0,0,0/0,0,2019202000002,浙江
59,兰兹博格,1,34,0,7-14(50%),4-8(50%),7-8(88%),6,8,4,1,1,1,0,2,6,0/0,33,2019202000002,浙江
60,刘泽一,10,28,0,4-9(44%),0-0(0%),0-1(0%),2,3,0,4,2,2,0,0,1,0/0,8,2019202000002,浙江
61,王仔路,23,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,浙江
62,林孝天,5,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,浙江
63,王奕博,15,24,0,0-0(0%),0-1(0%),0-0(0%),1,0,2,1,1,1,0,0,1,0/0,0,2019202000002,浙江
64,陆文博,8,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,浙江
65,张正昕,28,3,0,0-1(0%),0-0(0%),0-0(0%),0,0,0,1,0,1,0,0,0,0/0,0,2019202000002,浙江
66,白杰,16,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,浙江
67,李耀强,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,浙江
68,付磊,3,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,浙江
69,鞠鹏,7,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,浙江
70,孙岩松,9,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,浙江
71,刘育辰,30,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000002,浙江
72,浙江,--,--,--,19-44(43%),12-30(40%),23-29(79%),13,26,19,29,9,15,0,2,32,0/0,97,2019202000002,浙江
73,托马斯-罗宾逊,41,35,1,8-16(50%),0-2(0%),6-6(100%),6,9,4,5,0,3,2,2,10,0/0,22,2019202000003,四川
74,李原宇,15,33,1,5-16(31%),0-4(0%),3-4(75%),3,5,0,6,2,2,0,0,3,0/0,13,2019202000003,四川
75,左朕年,13,29,1,2-5(40%),1-3(33%),3-3(100%),2,3,3,2,1,1,0,0,2,0/0,10,2019202000003,四川
76,孟达,12,27,1,2-7(29%),2-6(33%),0-0(0%),0,3,4,1,1,2,0,0,0,0/0,10,2019202000003,四川
77,王政博,6,16,1,0-0(0%),1-4(25%),2-2(100%),0,0,1,5,2,0,0,0,1,0/0,5,2019202000003,四川
78,福特森,4,27,0,2-7(29%),1-3(33%),7-7(100%),0,2,3,3,1,2,0,0,5,0/0,14,2019202000003,四川
79,陈辰,32,27,0,1-5(20%),2-3(67%),1-1(100%),2,5,0,4,1,2,0,0,1,0/0,9,2019202000003,四川
80,闵庆飞,7,10,0,2-4(50%),0-2(0%),0-0(0%),1,1,0,4,0,0,0,0,0,0/0,4,2019202000003,四川
81,袁振梁,25,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000003,四川
82,胡林森,8,15,0,0-0(0%),0-1(0%),0-0(0%),0,0,0,1,0,1,0,0,0,0/0,0,2019202000003,四川
83,胡钧淋,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000003,四川
84,张松涛,39,4,0,0-0(0%),0-0(0%),0-0(0%),0,0,1,0,0,0,0,0,1,0/0,0,2019202000003,四川
85,景菡一,1,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000003,四川
86,莫蒙尘,10,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000003,四川
87,郭治瀚,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000003,四川
88,于刚,77,3,0,0-2(0%),0-0(0%),0-0(0%),0,0,2,0,0,0,0,0,0,0/0,0,2019202000003,四川
89,侯天一,14,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000003,四川
90,袁堂文,3,8,0,0-1(0%),0-2(0%),0-2(0%),0,0,1,1,0,2,0,0,3,0/0,0,2019202000003,四川
91,四川,--,--,--,22-63(35%),7-30(23%),22-25(88%),14,28,19,32,8,15,2,2,26,0/0,87,2019202000003,四川
92,周琦,9,27,1,5-7(71%),3-7(43%),8-11(73%),2,10,2,4,1,2,5,3,6,0/0,27,2019202000003,新疆
93,凯-费尔德,1,24,1,4-9(44%),2-4(50%),5-5(100%),0,6,8,1,1,5,1,0,7,0/0,19,2019202000003,新疆
94,西热力江,20,26,1,1-1(100%),5-8(63%),0-0(0%),1,3,2,2,0,1,0,0,1,0/0,17,2019202000003,新疆
95,范子铭,17,15,1,3-3(100%),0-0(0%),5-6(83%),5,3,3,2,0,0,0,0,3,0/0,11,2019202000003,新疆
96,阿不都沙拉木,23,27,1,4-6(67%),0-2(0%),2-2(100%),0,4,3,0,1,0,0,0,1,0/0,10,2019202000003,新疆
97,斯托克斯,2,31,0,6-12(50%),1-2(50%),2-5(40%),2,7,3,5,1,2,1,1,5,0/0,17,2019202000003,新疆
98,俞长栋,7,23,0,1-3(33%),2-2(100%),2-6(33%),2,2,0,4,1,0,0,0,3,0/0,10,2019202000003,新疆
99,曾令旭,6,13,0,2-3(67%),0-1(0%),2-2(100%),1,2,2,0,2,0,0,0,2,0/0,6,2019202000003,新疆
100,可兰白克,13,5,0,0-0(0%),2-3(67%),0-0(0%),0,2,0,2,0,0,1,0,2,0/0,6,2019202000003,新疆
101,唐才育,8,25,0,1-2(50%),0-4(0%),3-4(75%),1,1,1,2,0,0,0,0,2,0/0,5,2019202000003,新疆
102,西尔扎提-赛买提,0,9,0,2-3(67%),0-0(0%),0-0(0%),0,3,1,4,0,1,0,0,0,0/0,4,2019202000003,新疆
103,齐麟,11,9,0,1-2(50%),0-0(0%),0-0(0%),1,0,1,0,0,0,0,0,0,0/0,2,2019202000003,新疆
104,刘羽楠,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000003,新疆
105,刘力鹏,35,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000003,新疆
106,新疆,--,--,--,30-51(59%),15-33(45%),29-41(71%),15,43,26,26,7,11,8,4,32,0/0,134,2019202000003,新疆
107,詹姆斯-梅斯,40,17,1,7-12(58%),2-2(100%),3-7(43%),1,8,1,3,2,1,2,0,7,0/0,23,2019202000004,山东
108,陶汉林,20,27,1,4-7(57%),0-0(0%),4-8(50%),1,6,0,6,0,0,3,3,4,0/0,12,2019202000004,山东
109,张庆鹏,9,36,1,1-2(50%),2-5(40%),1-2(50%),0,3,9,5,3,4,0,0,2,0/0,9,2019202000004,山东
110,陈培东,44,18,1,1-3(33%),1-2(50%),0-0(0%),0,0,1,0,1,2,0,0,1,0/0,5,2019202000004,山东
111,李敬宇,8,26,1,1-2(50%),0-1(0%),0-2(0%),0,3,2,3,0,0,0,0,1,0/0,2,2019202000004,山东
112,哈德森,0,30,0,3-4(75%),7-14(50%),4-4(100%),1,11,8,3,4,1,0,0,6,0/0,31,2019202000004,山东
113,贾诚,23,29,0,7-8(88%),0-1(0%),1-1(100%),4,5,1,4,0,3,1,2,1,0/0,15,2019202000004,山东
114,朱荣振,35,16,0,5-9(56%),0-0(0%),1-3(33%),1,2,0,3,0,3,2,2,3,0/0,11,2019202000004,山东
115,张辉,4,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,山东
116,侯沛佐,10,22,0,0-2(0%),0-0(0%),0-0(0%),0,3,2,0,0,1,0,0,0,0/0,0,2019202000004,山东
117,王冠翔,13,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,山东
118,田嘉夫,14,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,山东
119,孙贺男,31,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,山东
120,李泓翰,7,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,山东
121,刘大鹏,1,14,0,0-0(0%),0-2(0%),0-0(0%),0,0,2,1,1,1,0,0,0,0/0,0,2019202000004,山东
122,吴轲,15,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,山东
123,马光翰,5,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,山东
124,山东,--,--,--,29-49(59%),12-27(44%),14-27(52%),8,41,26,28,11,16,8,7,25,0/0,108,2019202000004,山东
125,刘航初,9,26,1,5-7(71%),3-8(38%),0-0(0%),0,3,1,5,0,4,0,0,1,0/0,19,2019202000004,八一
126,王俊杰,3,32,1,3-6(50%),0-1(0%),4-4(100%),0,1,4,1,3,0,0,0,6,0/0,10,2019202000004,八一
127,雷蒙,11,31,1,2-9(22%),1-3(33%),2-2(100%),3,7,2,2,3,2,0,0,3,0/0,9,2019202000004,八一
128,田宇翔,7,27,1,1-4(25%),0-1(0%),7-8(88%),0,1,1,1,2,1,1,0,5,0/0,9,2019202000004,八一
129,许钟豪,27,31,1,2-7(29%),0-1(0%),0-1(0%),2,6,1,3,0,0,1,0,1,0/0,4,2019202000004,八一
130,阿尔斯兰,5,20,0,2-4(50%),2-4(50%),4-4(100%),0,1,2,2,1,1,0,0,2,0/0,14,2019202000004,八一
131,郭昊文,6,16,0,4-8(50%),0-1(0%),5-8(63%),0,2,1,4,0,0,0,0,5,0/0,13,2019202000004,八一
132,付豪,1,20,0,3-8(38%),0-1(0%),4-6(67%),3,0,1,2,0,1,0,0,3,0/0,10,2019202000004,八一
133,宁鸿宇,16,1,0,1-1(100%),0-1(0%),1-2(50%),1,0,0,0,0,0,0,0,1,0/0,3,2019202000004,八一
134,余晨,15,16,0,1-2(50%),0-1(0%),0-0(0%),0,4,1,5,0,1,0,0,0,0/0,2,2019202000004,八一
135,罗凯文,17,15,0,1-2(50%),0-1(0%),0-0(0%),1,2,0,1,0,1,1,0,1,0/0,2,2019202000004,八一
136,韩硕,33,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,八一
137,张旭,13,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,八一
138,马泳,25,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,八一
139,张祖铭,20,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,八一
140,石颜博,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,八一
141,邹雨宸,10,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,八一
142,缪光旸,21,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000004,八一
143,八一,--,--,--,25-58(43%),6-23(26%),27-35(77%),10,27,14,26,9,11,3,0,28,0/0,95,2019202000004,八一
144,弗格,18,38,1,5-12(42%),4-9(44%),13-15(87%),0,9,10,5,1,3,0,0,12,0/0,35,2019202000005,北控
145,桑尼,7,30,1,5-11(45%),0-1(0%),8-8(100%),3,9,1,1,0,1,0,0,4,0/0,18,2019202000005,北控
146,孙悦,9,31,1,2-4(50%),3-9(33%),0-0(0%),1,4,4,4,2,0,1,1,2,0/0,13,2019202000005,北控
147,王少杰,14,24,1,6-8(75%),0-0(0%),0-0(0%),2,1,0,0,2,0,1,1,0,0/0,12,2019202000005,北控
148,许梦君,19,5,1,0-0(0%),0-1(0%),0-0(0%),0,0,0,2,0,0,0,0,0,0/0,0,2019202000005,北控
149,贾森-汤普森,6,29,0,3-9(33%),0-0(0%),5-6(83%),0,7,0,3,0,1,2,0,7,0/0,11,2019202000005,北控
150,王子瑞,1,30,0,2-4(50%),2-4(50%),0-0(0%),0,3,0,5,1,2,0,0,0,0/0,10,2019202000005,北控
151,张帆,3,23,0,3-4(75%),1-2(50%),0-0(0%),0,1,2,2,0,2,0,0,0,0/0,9,2019202000005,北控
152,孟博龙,4,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,北控
153,班铎,29,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,北控
154,常亚松,16,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,北控
155,王向彬,23,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,北控
156,陈子安,20,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,北控
157,陈金龙,33,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,北控
158,于梁,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,北控
159,高尚,27,10,0,0-1(0%),0-1(0%),0-0(0%),1,1,1,2,1,0,0,0,0,0/0,0,2019202000005,北控
160,宗赞,13,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,北控
161,王征,28,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,北控
162,孙桐林,55,13,0,0-1(0%),0-0(0%),0-0(0%),0,3,0,0,0,0,0,0,0,0/0,0,2019202000005,北控
163,景浩扬,12,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,北控
164,北控,--,--,--,26-54(48%),10-27(37%),26-29(90%),7,38,18,24,7,9,4,2,25,0/0,108,2019202000005,北控
165,皮埃尔-杰克逊,55,38,1,1-6(17%),7-13(54%),7-8(88%),1,3,9,3,2,5,0,0,7,0/0,30,2019202000005,深圳
166,顾全,12,35,1,1-3(33%),2-6(33%),3-4(75%),0,3,1,2,1,1,0,0,2,0/0,11,2019202000005,深圳
167,李慕豪,9,25,1,4-7(57%),0-0(0%),0-0(0%),1,5,0,4,0,0,3,2,1,0/0,8,2019202000005,深圳
168,卢艺文,23,28,1,1-2(50%),1-8(13%),0-0(0%),0,5,2,2,0,1,0,0,0,0/0,5,2019202000005,深圳
169,贺希宁,0,22,1,1-1(100%),0-1(0%),0-0(0%),1,3,1,3,0,1,0,0,1,0/0,2,2019202000005,深圳
170,穆罕默德,15,33,0,8-14(57%),1-5(20%),8-10(80%),2,7,1,3,0,5,1,0,7,0/0,27,2019202000005,深圳
171,沈梓捷,11,29,0,5-7(71%),0-0(0%),3-6(50%),3,5,1,5,1,2,2,3,4,0/0,13,2019202000005,深圳
172,容子峰,25,10,0,2-3(67%),0-0(0%),0-0(0%),0,2,2,2,2,0,0,0,2,0/0,4,2019202000005,深圳
173,杨林祎,6,4,0,0-0(0%),1-1(100%),0-0(0%),0,2,0,0,0,0,0,0,0,0/0,3,2019202000005,深圳
174,何忠勉,20,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,深圳
175,白昊天,10,7,0,0-2(0%),0-0(0%),0-0(0%),0,1,1,1,0,0,0,0,0,0/0,0,2019202000005,深圳
176,于德豪,19,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,深圳
177,卢鹏羽,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,深圳
178,赵义明,5,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,深圳
179,陈柏石,34,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,深圳
180,李想,16,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,深圳
181,孟铎,3,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,深圳
182,韩驭丰,14,3,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000005,深圳
183,深圳,--,--,--,23-45(51%),12-34(35%),21-28(75%),8,36,18,25,6,15,6,5,24,0/0,103,2019202000005,深圳
184,约翰逊,41,38,1,9-12(75%),0-0(0%),5-10(50%),7,12,4,4,1,1,3,1,11,0/0,23,2019202000006,青岛
185,翟逸,33,31,1,5-7(71%),0-0(0%),4-4(100%),1,1,2,5,3,3,0,1,5,0/0,14,2019202000006,青岛
186,林韦翰,16,27,1,2-3(67%),2-3(67%),0-0(0%),0,3,3,2,1,2,0,0,1,0/0,10,2019202000006,青岛
187,赵泰隆,8,18,1,3-7(43%),0-3(0%),0-0(0%),0,0,0,3,0,1,0,0,0,0/0,6,2019202000006,青岛
188,王庆明,32,31,1,0-4(0%),1-3(33%),0-0(0%),0,6,3,1,1,0,0,0,1,0/0,3,2019202000006,青岛
189,张骋宇,6,25,0,6-7(86%),2-3(67%),2-2(100%),0,0,0,1,1,0,0,0,1,0/0,20,2019202000006,青岛
190,亚当斯,4,30,0,5-10(50%),1-13(8%),4-5(80%),2,12,5,2,3,4,0,0,2,0/0,17,2019202000006,青岛
191,焦海龙,17,17,0,3-4(75%),0-1(0%),0-0(0%),0,0,0,1,1,1,1,0,0,0/0,6,2019202000006,青岛
192,刘传兴,21,7,0,2-4(50%),0-0(0%),0-0(0%),2,2,0,1,0,0,0,0,0,0/0,4,2019202000006,青岛
193,赵大鹏,30,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000006,青岛
194,许家晗,3,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000006,青岛
195,周湛东,24,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000006,青岛
196,杨金蒙,7,11,0,0-2(0%),0-2(0%),0-0(0%),0,0,0,4,0,0,0,0,1,0/0,0,2019202000006,青岛
197,史文龙,26,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000006,青岛
198,王睿泽,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000006,青岛
199,杨凯,9,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000006,青岛
200,赵戌宏,20,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000006,青岛
201,丁皓然,35,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000006,青岛
202,青岛,--,--,--,35-60(58%),6-28(21%),15-21(71%),12,36,17,24,11,12,4,2,22,0/0,103,2019202000006,青岛
