球队,场均净胜分MOV,Pace,OffensiveRating,DefensiveRating,NetRating
广东,16.307692307692307,97.26786188130609,127.1067003279942,109.8884124880359,17.218287839958307
新疆,10.84,95.83296393501888,123.51064491714874,112.08696410740562,11.423680809743118
山东,6.730769230769231,91.56294787296945,119.40449632890765,111.89342988118702,7.511066447720637
青岛,6.2,95.82988292337984,121.48679969717502,114.87033660755375,6.616463089621263
浙江,5.0,92.54408546227899,123.1560837307863,117.67686029307166,5.479223437714651
辽宁,4.346153846153846,94.8723477969783,118.7754723878629,114.10383006978823,4.6716423180746744
山西,4.115384615384615,90.58307213932581,118.10247949285912,113.46335860235402,4.639120890505097
北控,3.8076923076923075,93.12407025401875,113.63863981995542,109.48726515494597,4.151374665009442
吉林,3.730769230769231,92.40166742552975,119.39080731390473,115.26802044688841,4.122786867016316
广厦,3.076923076923077,93.65137392952028,112.99483197766969,109.64435512140076,3.3504768562689264
北京,2.6538461538461537,88.3571458967281,112.56406470577582,109.48805660094474,3.0760081048310752
福建,-1.3461538461538463,94.97083542714718,119.37263965736152,120.814338203948,-1.4416985465864798
深圳,-3.3076923076923075,92.40636691629543,110.39795786707008,114.05661851314639,-3.6586606460763136
同曦,-3.3846153846153846,92.6496883156693,116.71465055793493,120.45223762092556,-3.7375870629906274
江苏,-3.8076923076923075,94.83687246395314,111.6419812022398,115.71440424535761,-4.072423043117809
上海,-7.038461538461538,92.98435915109023,108.34211840520571,116.05375110382596,-7.7116326986202495
广州,-8.307692307692308,91.81631207668542,115.72150387455287,124.88420359482537,-9.1626997202725
四川,-9.153846153846153,93.20601286153233,109.60415499775608,119.60637466396236,-10.002219666206273
八一,-14.5,92.59533949219511,104.10217826307044,120.13425391878023,-16.03207565570979
天津,-15.307692307692308,91.50516901164818,106.30572228287494,123.21606499613802,-16.910342713263077
