球员,OffensiveRating,DefensiveRating,NetRating,UsagePercent,出场时间,首发,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,得分,2分中,2分投,3分中,3分投,罚球中,罚球投,出场
蒋浩然,156.90200953402496,127.72134415794699,29.180665376077968,15.018530651359727,14,0,3,1,0,2,0,0,0,0,5,6,1,2,0,0,4,6,3
胡明轩,139.86137668490076,114.9292746801859,24.932102004714864,14.51940441272938,641,27,23,41,54,85,29,22,5,0,53,293,58,84,40,84,57,65,28
胡金秋,133.1061661855902,115.87191951531533,17.234246670274885,18.594002948513495,904,28,95,153,21,62,25,26,33,17,79,466,184,296,9,21,71,89,28
易建联,129.64480684578157,113.21673492600856,16.428071919773018,23.677240954766244,878,28,80,231,38,53,35,33,49,59,159,562,156,282,33,91,151,187,28
约翰逊,133.113641625169,118.55053742696104,14.563104198207967,27.552378315629248,829,1,131,255,76,96,26,53,45,35,228,634,225,353,0,3,184,267,27
汉斯布鲁,133.58354917014847,120.17698929154895,13.406559878599523,32.98414146000832,546,4,73,134,20,54,25,28,10,24,154,498,157,282,2,14,178,201,15
克拉克,142.8212818887286,130.68802588282398,12.133256005904627,18.694097585125697,7,1,0,3,4,1,0,0,0,0,1,4,1,1,0,1,2,2,1
王薪凯,130.11489753149073,118.11583177356565,11.99906575792508,14.508067386592598,262,2,5,24,9,40,5,11,0,0,12,113,6,13,30,60,11,12,24
杜润旺,129.50440561800087,118.29355482779249,11.210850790208383,13.727383844181453,478,1,25,46,12,88,5,20,6,0,15,189,26,32,40,92,17,23,27
尤度,117.70337600010149,107.83589237193236,9.867483628169126,24.23817771993176,510,0,49,126,37,45,30,30,68,37,57,281,117,191,1,4,44,65,15
弗格,122.34964675112782,112.62818459707961,9.721462154048211,27.90134097057051,972,27,32,152,169,81,62,87,9,0,236,706,128,232,71,171,237,281,27
孔德高,129.82732182156929,120.43932208896993,9.387999732599354,11.48921228635125,22,0,0,3,0,3,1,0,0,0,5,7,2,3,0,0,3,6,3
赖俊豪,128.97884286516143,120.04444777957676,8.934395085584669,11.16005464842019,427,0,32,51,15,87,17,13,20,11,31,122,35,57,8,22,28,34,22
原帅,130.70306538103708,121.8822816065697,8.820783774467372,15.583758684659339,1034,28,9,42,36,47,14,29,1,0,33,449,55,86,100,218,39,44,28
布鲁克斯,121.9421236799995,113.12161028701784,8.820513392981653,31.695421430216168,857,21,36,132,139,44,52,76,13,15,98,747,187,296,98,222,79,100,26
姜宇星,127.18517348570866,119.05971334573832,8.125460139970343,12.308230880066194,955,28,37,71,62,85,53,35,7,2,83,320,107,165,14,24,64,87,28
