球员,OffensiveRating,DefensiveRating,NetRating,UsagePercent,出场时间,首发,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,得分,2分中,2分投,3分中,3分投,罚球中,罚球投,出场
斯托克斯,123.90994410431331,115.97083614598674,7.939107958326574,28.18121585660275,558,2,57,156,40,63,20,42,20,15,87,428,160,254,11,32,75,97,18
赵晏满,115.15570272260295,107.41171550695132,7.743987215651629,23.955981078374787,18,1,2,3,0,6,2,2,0,2,2,10,4,6,0,0,2,2,3
霍尔曼,127.05213520877177,119.60856605251116,7.443569156260608,21.882526844083536,759,2,92,196,27,91,23,47,39,48,75,432,178,284,0,0,76,90,28
周琦,121.09746247942277,113.98456748913459,7.112894990288183,24.20544849594242,761,23,76,196,42,75,25,46,58,50,116,482,152,230,31,98,85,134,23
任骏飞,121.78845640663592,114.76683727048672,7.021619136149198,15.082276992943717,807,27,50,82,51,72,35,36,14,7,65,316,104,163,16,53,60,77,27
鲁吐布拉,124.20657344498002,117.23635408439218,6.970219360587848,19.114909236869657,54,0,4,13,0,8,2,3,1,3,7,29,11,16,0,0,7,12,10
詹姆斯-梅斯,120.30348159303423,113.37086725983157,6.932614333202665,24.082340638680005,773,2,100,176,43,77,46,51,31,19,135,437,158,269,5,21,106,152,28
付磊,132.02613079789202,125.12037872279775,6.90575207509427,12.470489509189044,116,0,4,5,5,12,2,3,0,1,4,42,11,15,5,10,5,10,12
韩德君,126.91715919765628,120.66370230789718,6.253456889759093,19.567339687068355,768,23,68,198,43,86,11,44,19,17,104,400,146,233,0,1,108,141,26
可兰白克,126.05108823721949,120.287059001344,5.764029235875483,13.853763085966007,704,13,14,53,30,79,9,21,5,0,22,276,24,47,70,152,18,21,27
穆罕默德,130.0588769698932,124.46476627293904,5.5941106969541465,29.52639103031824,299,1,21,72,15,24,8,13,5,16,72,235,65,108,13,31,66,87,10
许家晗,122.52101358309078,117.02581584667354,5.495197736417239,10.253003521142238,109,1,1,9,10,20,7,2,1,0,7,30,12,16,1,6,3,4,9
汉密尔顿,119.40601746587822,114.41955454779033,4.986462918087895,26.843475181701038,631,6,51,134,39,43,20,29,33,23,79,395,145,239,8,42,81,92,18
范子铭,122.52654578771225,118.0372842045739,4.489261583138358,18.651961654503467,401,13,44,64,31,59,8,26,12,3,55,197,75,118,0,1,47,70,27
王政博,117.61003554400762,113.6885083230098,3.9215272209978167,13.370329509656665,16,1,0,0,1,5,2,0,0,0,1,5,0,0,1,4,2,2,1
富兰克林,117.37921407480405,113.74696555256918,3.6322485222348746,33.16403449189834,966,25,42,188,250,72,58,99,35,11,274,759,152,264,75,216,230,275,25
焦海龙,123.60460608038434,120.35223113278265,3.2523749476016945,15.86174022150233,442,7,30,48,10,61,13,16,10,2,22,181,58,95,17,44,14,15,19
巴斯,121.611047186471,118.4926391672015,3.118408019269495,26.37463611621221,873,3,58,175,49,52,31,56,20,71,128,595,227,385,1,3,138,175,28
曾繁日,116.32845541412702,113.97936834678731,2.3490870673397097,11.031320625669087,245,0,26,40,6,60,9,13,9,5,24,63,27,43,0,0,9,17,26
纳纳利,121.09251413386023,118.94139543431332,2.151118699546913,26.918134664317872,390,0,17,49,40,17,14,18,1,2,53,268,60,124,31,62,55,65,12
埃里克-米卡,118.11619506171402,116.16117878908088,1.955016272633145,26.505636070853463,216,3,40,42,11,22,10,13,4,15,37,139,55,98,0,0,29,51,7
宗赞,114.45346417615232,112.56435774141792,1.8891064347344013,25.528140784093647,84,0,7,18,1,14,4,5,3,0,10,51,9,19,9,21,6,8,13
陶汉林,119.12634912439819,117.3339530808481,1.7923960435500845,18.998548718391433,831,23,57,127,34,103,21,37,32,60,94,380,153,256,0,1,74,118,28
刘传兴,120.9823474914268,119.73916940351337,1.2431780879134209,19.5469991861942,288,16,48,73,6,48,5,19,17,6,41,133,49,87,0,0,35,54,24
苏若禹,115.34482646635611,114.14999319138606,1.1948332749700512,14.995294436191944,627,23,48,91,16,89,32,29,9,3,58,224,92,161,0,0,40,54,28
赵义明,118.92818886940746,117.73451159921547,1.1936772701919978,18.90348441493394,37,0,8,7,2,8,2,1,1,2,7,14,5,11,0,1,4,5,8
朱俊龙,117.54660826803065,116.38473198750498,1.161876280525675,14.548408220357889,353,1,18,22,15,37,11,12,6,2,25,127,26,44,19,48,18,29,25
贺天举,122.8847156519024,122.15091335066977,0.7338023012326289,15.943454326223682,368,12,9,41,13,40,4,9,2,1,21,152,19,35,30,76,24,29,25
哈德森,116.52250618481573,115.83749393884477,0.6850122459709524,32.700733498104405,1015,26,32,176,215,83,52,108,13,1,158,804,128,214,139,341,131,146,27
摩尔特里,122.6608177298601,122.5390283269393,0.12178940292079687,23.95847858787228,121,0,25,27,3,12,4,6,1,5,12,67,28,54,0,0,11,17,4
郭凯,119.22084402950821,119.20013371195523,0.02071031755298236,16.004097383007085,70,2,6,8,5,10,7,4,5,1,8,26,10,17,0,0,6,7,3
阿不都沙拉木,118.71139964666698,118.70861938612451,0.002780260542465385,19.47901532900778,677,20,29,71,51,44,20,27,3,1,59,336,90,151,31,95,63,84,20
侯沛佐,117.57300790024871,117.69755494470988,-0.12454704446116693,10.561875533479038,247,4,13,29,13,27,9,13,2,0,16,63,11,21,10,17,11,14,21
朱旭航,120.30981688268855,120.49204698346227,-0.18223010077372237,18.018872734227777,860,28,51,98,27,116,44,34,12,5,97,382,54,103,71,174,61,82,28
王庆明,121.47645913393863,121.74129342321801,-0.2648342892793778,13.157074463072416,722,20,15,61,33,80,18,17,5,1,46,245,37,72,48,115,27,34,27
杰伦-雷诺兹,100.54190378660029,100.9354946903289,-0.39359090372860805,27.9990721460399,126,0,16,34,11,16,11,10,1,10,10,69,29,64,0,0,11,11,5
普-杰特,128.3286066703228,128.73789148146662,-0.4092848111438059,23.658253764943332,384,10,5,50,89,23,17,23,0,0,64,245,37,66,40,86,51,55,10
赵睿,112.32839374944896,112.90295975156984,-0.5745660021208749,18.775345271620218,806,27,35,89,114,78,52,40,7,2,83,356,75,147,49,135,59,76,27
王少杰,111.14674946546204,112.06526385357567,-0.9185143881136355,15.782414979427942,677,28,53,82,8,79,29,31,37,21,69,239,92,170,2,6,49,79,28
兰兹博格,122.1996573186219,123.1923605217705,-0.9927032031485936,32.1052968758399,918,11,50,168,77,51,29,49,8,14,199,740,165,319,67,183,209,248,28
张大宇,119.58038158913791,120.86212271113469,-1.2817411219967738,13.52628525636765,852,27,58,112,42,96,32,37,32,9,62,283,111,182,8,18,37,48,28
亚当斯,114.84574537378127,116.23153852923616,-1.3857931554548912,39.79610134416733,961,26,24,195,162,62,73,107,5,1,209,942,203,351,111,321,203,233,27
朱彦西,116.49238734912548,117.92438966667478,-1.4320023175493048,13.963494918706314,593,9,10,49,24,42,16,8,4,0,13,196,13,25,55,134,5,8,20
郑准,130.89930625104964,132.4356742537471,-1.5363680026974578,16.713828816926934,376,8,12,48,15,35,2,11,11,3,10,176,27,39,39,82,5,7,21
周仪翔,116.94879373651096,118.54742631001126,-1.5986325735002964,10.783713930322891,386,2,7,15,21,33,9,6,1,0,9,96,16,32,17,42,13,13,24
唐才育,116.21228437322755,117.86320673992483,-1.6509223666972872,16.260319939054433,411,4,17,19,15,55,15,12,1,0,26,163,32,52,25,79,24,32,26
于长春,125.08058526130557,126.74891623221569,-1.6683309709101195,16.106139834246594,417,1,14,31,10,41,9,12,1,0,22,176,23,34,39,95,13,16,20
德兹明-威尔斯,109.27654099231434,111.15735115365179,-1.8808101613374504,33.135614297841045,347,9,4,61,40,26,31,33,7,7,67,286,89,171,18,45,54,66,9
泰-劳森,121.4243802484695,123.46466280870851,-2.0402825602390067,29.43323050365641,638,6,19,72,133,49,35,47,3,0,157,497,124,228,34,79,147,179,18
王骁辉,113.83622378549671,116.1222906104214,-2.2860668249246885,11.054601099834116,447,12,10,26,13,59,19,8,1,0,9,113,10,20,30,72,3,4,24
刘铮,108.93342790558047,111.24391442109396,-2.310486515513489,17.397008428706734,841,27,36,84,89,78,66,33,12,3,90,327,96,199,23,65,66,81,27
俞长栋,115.77712801356508,118.25811362178214,-2.4809856082170683,14.488942058438036,541,13,47,71,23,102,13,25,9,2,45,189,61,98,13,41,28,46,27
M.I.托马斯,112.83592069766077,115.42576447469271,-2.5898437770319447,23.55622069707351,89,0,9,30,10,9,2,6,3,7,21,47,15,24,2,8,11,18,3
翟晓川,113.6617677043257,116.29875297081675,-2.6369852664910525,19.559858539289316,942,26,26,126,72,82,34,50,15,5,106,418,112,175,30,99,104,126,26
刘洺宇,123.9437255023823,126.73302209455271,-2.789296592170402,13.442811047647924,252,0,5,16,20,41,9,6,1,0,16,91,16,29,17,36,8,13,13
代怀博,120.24431789785378,123.32246626619055,-3.0781483683367696,14.71543252387939,546,5,16,51,15,50,9,19,6,2,17,204,11,29,57,126,11,12,28
赵岩昊,108.84806109280322,112.0803638874494,-3.2323027946461735,19.123154422616405,597,17,16,36,40,58,44,27,5,1,65,261,35,78,50,133,41,49,22
任骏威,117.3069290543697,120.58042592836557,-3.2734968739958674,17.95264044429788,905,28,36,99,56,55,19,40,7,2,80,386,88,175,47,102,69,87,28
黄旭,116.25271563121844,119.54492241217538,-3.2922067809569455,11.587887024076464,15,0,0,1,1,1,1,0,0,0,2,4,1,1,0,2,2,2,2
贾森-汤普森,110.1355772255273,113.56825295426961,-3.4326757287423106,19.947546225383324,704,1,66,195,33,89,28,42,15,16,82,316,134,235,1,8,45,71,24
刘天意,118.20713368197235,121.67342178713794,-3.4662881051655887,15.802374464772285,119,0,7,10,3,21,4,5,0,0,7,45,18,27,0,6,9,9,16
邓蒙,118.02076806938709,121.49687341030977,-3.476105340922686,31.162334532162454,1022,17,30,112,185,55,50,73,4,0,190,787,133,275,115,276,176,203,28
桑尼,112.30363340746004,116.05206075709552,-3.7484273496354774,22.706646356129244,765,25,89,163,37,67,25,48,9,3,115,381,138,270,2,24,99,116,25
王汝恒,109.70654709324204,113.65695448725238,-3.950407394010341,16.43000280004599,629,9,5,31,63,56,42,27,0,0,58,230,38,73,36,102,46,54,20
埃里克-莫兰德,109.32104050678555,113.30903816077678,-3.987997653991229,23.81846557185094,647,2,90,258,48,72,36,59,44,33,98,333,146,233,0,4,41,93,23
拉杜利察,117.62517979519333,122.38336199939351,-4.758182204200182,32.046688293795924,866,14,69,192,72,105,33,79,24,29,219,693,214,363,28,71,181,226,28
雅克查理,116.54961824948296,121.83791285139029,-5.2882946019073245,20.212841906850244,373,11,11,46,35,21,17,8,2,0,33,177,34,63,29,78,22,31,11
康宁汉姆,117.88968316614876,123.27699316675034,-5.3873100006015875,21.604109308666917,378,0,31,73,20,43,14,17,18,6,24,191,72,130,9,23,20,23,13
陈培东,111.82417913042471,117.2175394709881,-5.39336034056339,17.83327470921337,488,12,13,35,44,41,22,27,0,0,25,204,49,76,30,78,16,22,26
宁鸿宇,117.76265021586522,123.35884016837916,-5.596189952513939,19.298342816412216,306,5,15,25,6,38,8,18,8,2,28,146,22,51,23,47,33,37,24
李炎哲,124.01241194095425,129.89966937039898,-5.88725742944473,17.12333993045513,139,0,21,18,1,35,2,9,7,5,18,57,25,36,0,0,7,14,14
景菡一,119.56854228545852,125.47737207845663,-5.908829792998105,11.102381830154046,193,0,15,11,5,33,4,2,2,0,7,51,12,23,9,23,0,2,9
琼斯,112.8330338154454,118.75102593804287,-5.917992122597468,41.01377605111782,1035,26,55,155,229,91,52,98,15,3,262,969,255,457,70,248,249,310,26
林书豪,108.21855550160775,114.30704059872156,-6.088485097113804,33.694915449792674,750,22,21,107,125,81,43,77,4,0,210,539,135,268,32,85,173,204,22
埃里克-格林,121.54987388059205,127.71451730442912,-6.164643423837077,24.07675796246168,132,4,5,18,14,5,5,4,0,0,9,85,21,35,11,29,10,12,4
布莱克尼,105.34073067038754,111.86975114386206,-6.529020473474517,43.25233365529777,147,0,2,24,13,8,6,17,4,5,25,145,39,73,13,28,28,39,4
史蒂芬森,113.47882810195597,120.03066973393786,-6.551841631981887,31.374401550190314,933,25,30,172,109,89,28,76,5,13,165,713,220,362,41,139,150,194,27
李敬宇,113.65583674918544,120.5089764996699,-6.853139750484459,14.558459527385548,906,24,27,76,53,83,14,33,2,0,32,307,57,106,58,139,19,25,28
宋建骅,117.32723901396271,124.4287371536279,-7.101498139665196,14.403374102937713,857,26,35,79,45,72,33,37,10,0,55,296,45,77,52,133,50,57,27
尼克尔森,123.61205057841302,131.24411570105875,-7.632065122645727,30.173970764435904,809,21,53,194,25,57,18,48,17,16,125,624,154,276,72,144,100,127,24
孙喆,120.06469101135589,127.70605051758025,-7.6413595062243616,12.113607334658132,205,1,19,33,7,45,4,13,4,2,17,61,23,34,0,0,15,21,26
约瑟夫-杨,116.04634221562351,123.97147808935514,-7.925135873731634,36.0355119316938,1136,27,22,100,199,38,56,109,0,22,218,999,273,469,90,235,183,203,28
闫鹏飞,110.6135240060883,118.82478842997455,-8.211264423886249,22.77495733458269,395,0,31,52,10,62,8,21,14,17,38,200,83,142,4,17,22,38,27
威姆斯,106.2164466313335,114.4997740001891,-8.283327368855609,29.518121479796484,832,7,25,141,171,66,41,90,9,17,112,571,205,366,24,72,89,111,27
刘志轩,111.17883946988569,119.66675352134259,-8.487914051456897,7.533820771796262,424,1,11,26,42,26,15,11,1,0,9,73,4,10,19,46,8,12,19
曾令旭,106.33811835515927,114.92118396813856,-8.583065612979297,17.29275924246383,508,5,15,38,124,47,31,39,4,0,71,201,51,85,17,53,48,67,27
段江鹏,107.09863255825101,115.74579516532677,-8.647162607075757,15.137465694404446,208,0,7,17,12,13,10,16,0,0,15,70,6,14,16,30,10,11,19
姜伟泽,112.005522989863,120.87410454561139,-8.868581555748392,18.39737911605782,708,1,16,41,38,38,31,19,0,0,33,298,24,69,75,189,25,31,28
刘冠岑,109.53295935834193,118.61515849046353,-9.082199132121602,11.00041417241602,802,27,36,44,36,68,29,24,8,10,52,190,59,99,17,51,21,43,27
孙铭徽,101.72830593390762,110.97115474235567,-9.242848808448045,22.908662190390316,715,9,22,59,114,58,62,69,2,4,88,361,104,175,31,91,60,85,23
郭艾伦,109.1086887169209,118.51868930849761,-9.410000591576718,24.63845014999702,706,21,11,61,105,72,32,49,1,3,97,406,112,191,32,103,86,115,21
王哲林,117.2159991284811,126.84166120377809,-9.625662075296987,28.47314422977413,950,26,85,193,56,71,25,60,28,45,166,662,241,398,14,60,138,215,26
吉布森,116.43774266032506,126.14020595247922,-9.702463292154164,36.59185488541408,612,13,16,79,75,62,22,47,2,0,140,562,89,188,77,189,153,176,18
沈梓捷,109.20379625495438,119.13345889214301,-9.929662637188628,19.935844381173876,764,12,56,116,40,74,28,48,36,55,111,337,131,226,0,2,75,125,27
刘权标,102.05072225922653,112.01513000957898,-9.96440775035245,17.991963198106518,108,0,5,4,6,21,8,4,0,0,6,40,9,18,6,21,4,6,13
王潼,107.88056801822361,117.88166708380983,-10.001099065586217,16.6530410049109,358,17,27,47,11,40,24,22,10,18,27,137,59,91,1,6,16,32,22
法里德,101.04290565925913,111.09623553040714,-10.053329871148009,29.33630796522292,206,2,23,47,9,23,9,14,17,9,28,121,46,91,5,15,14,29,7
陈林坚,117.69679001240367,127.88068554446465,-10.183895532060987,20.159021839851928,1020,27,26,74,47,65,29,48,2,2,55,524,95,176,92,210,58,72,27
时德帅,116.52280205285876,126.81970281306167,-10.296900760202902,18.50712981629067,1120,28,66,127,43,90,47,59,10,7,103,490,124,217,48,125,98,122,28
李晓旭,108.49416334562359,118.81593915520763,-10.32177580958404,13.073993652639274,667,17,83,85,18,62,21,15,16,7,27,165,57,122,14,48,9,28,28
吴冠希,112.68602348629122,123.09487552142265,-10.408852035131432,19.0650196228833,826,20,60,153,36,102,18,46,45,44,96,370,150,252,0,2,70,108,28
孙桐林,102.43231496907616,113.04786352093443,-10.615548551858268,13.456325302756783,389,2,31,54,19,49,20,25,9,0,30,107,42,66,2,16,17,26,27
吴前,109.59182699892457,120.26250345606222,-10.670676457137645,21.70100161080874,912,28,24,82,107,84,54,55,3,0,97,450,59,138,80,201,92,112,28
邢志强,110.3990839886295,121.14667771381826,-10.747593725188764,22.862808603761575,373,0,20,42,12,46,3,19,8,2,15,191,22,62,46,98,9,17,22
韦伯斯特,102.57989062989547,113.50919050262047,-10.929299872724997,28.61362007168459,150,0,4,13,24,12,9,8,0,0,7,98,22,49,17,48,3,4,5
赵戌宏,107.27091196904456,118.2892781869466,-11.018366217902042,10.394857964268601,100,8,8,18,4,16,3,4,6,2,7,21,8,16,0,0,5,9,13
田雨,115.56871402762219,126.68931521933007,-11.120601191707877,21.987295069242652,191,0,14,16,13,19,8,10,2,0,16,96,24,42,9,30,21,23,11
李江淮,114.00417936606142,125.2199343544865,-11.215754988425076,11.160612192465814,232,4,10,14,23,28,12,9,0,0,8,61,13,23,10,24,5,6,15
高尚,103.95177837646004,115.24389373360734,-11.292115357147296,16.271965627573742,88,0,7,5,3,10,4,3,0,0,7,27,6,15,2,10,9,10,9
凯-费尔德,103.38116525894812,114.69669714196712,-11.315531883019005,26.330761404747193,723,21,20,102,184,70,41,71,6,2,105,416,102,223,38,106,98,113,22
亨特,114.22909409644357,125.63709213130694,-11.407998034863368,30.528110904317852,536,15,28,70,52,52,35,31,5,4,114,371,111,192,19,69,92,126,16
徐杰,103.0195125193738,114.54568745146972,-11.526174932095913,9.709510376191137,432,0,12,14,35,47,23,7,0,0,19,83,8,26,20,62,7,8,26
陆文博,104.11967831241033,115.6796536723789,-11.559975359968576,9.777787515167857,40,0,3,2,1,6,4,0,0,0,5,7,3,4,0,3,1,4,8
赵泰隆,111.40907425377861,123.01101128934178,-11.601937035563168,12.618885103642182,718,25,16,37,15,63,12,10,1,0,25,204,25,65,42,118,28,36,27
德怀特-拜克斯,104.9362295565919,116.5542087529661,-11.617979196374208,25.636841679703956,896,23,29,100,161,60,62,76,5,1,111,501,151,287,37,90,88,107,24
赵继伟,103.2020170787717,114.94328524365997,-11.741268164888268,17.18888939794497,879,26,18,68,128,85,67,56,3,0,57,332,52,105,64,158,36,52,27
付豪,113.56947996735589,125.38780675066896,-11.818326783313069,25.8996535348287,883,20,108,161,16,90,15,37,9,2,139,512,195,402,0,2,122,162,28
袁振梁,112.89983264168552,124.89308052540771,-11.99324788372219,16.840080966075455,212,11,23,28,4,42,4,10,5,4,22,80,30,60,0,0,20,26,22
李慕豪,108.48512889244076,120.54333275088155,-12.058203858440791,20.003362394741842,628,19,45,99,18,72,15,42,30,36,69,278,103,176,7,22,51,75,24
张骋宇,109.50041009016344,121.64337253856299,-12.142962448399544,19.81475429218601,550,0,13,35,20,20,16,12,2,0,22,247,69,149,28,77,25,30,24
贺希宁,108.77456972954495,121.1296514477834,-12.355081718238452,16.967226582326184,765,23,21,55,32,43,30,24,1,1,47,290,73,132,33,101,45,57,28
贾诚,105.44074757695003,117.80656130283307,-12.365813725883044,19.715923886450906,649,25,49,128,29,84,15,45,22,16,60,264,84,161,16,44,48,69,27
金鑫,116.54987418059845,129.01143481671576,-12.461560636117312,13.410708794829157,700,19,52,94,25,72,18,22,2,2,48,213,65,115,17,50,32,43,28
西热力江,103.84204568824815,116.46624465375513,-12.624198965506977,15.512702540223085,745,17,14,52,114,74,36,34,4,0,28,249,14,31,64,193,29,31,27
孙悦,101.50217948478992,114.34701174712032,-12.8448322623304,17.810495618561042,962,27,15,79,119,77,35,44,31,6,43,356,52,116,67,196,51,72,27
马尔科-托多罗维奇,111.50205340609438,124.36875837397575,-12.866704967881375,27.731666465924633,775,22,79,199,68,78,41,85,22,8,146,491,167,278,10,31,127,176,22
刘泽一,109.40669145615858,122.37097481999203,-12.964283363833445,15.252138722290116,248,1,23,29,4,42,9,14,2,1,12,82,37,65,0,0,8,13,21
福特森,110.64130505274309,123.79420833705517,-13.152903284312075,32.6887409476389,1006,23,39,129,205,101,42,96,0,0,317,773,170,331,58,174,259,339,28
托马斯-罗宾逊,110.11041779704338,123.55885409295333,-13.448436295909943,26.968155155517742,306,2,51,81,12,36,15,21,10,18,49,182,72,136,0,4,38,60,11
郭一飞,111.68412696571993,125.54538985571624,-13.861262889996311,11.85988536842588,452,18,21,30,9,68,14,13,1,0,29,118,28,50,17,49,11,14,25
程帅澎,106.28007603427922,120.59164041244559,-14.311564378166366,10.962041367584355,753,26,18,33,54,111,42,21,1,0,61,176,33,67,24,74,38,52,27
艾伦-杰克逊,100.99629108837678,115.45899721218498,-14.462706123808204,21.80114825927139,536,14,11,40,151,30,23,41,1,0,72,240,73,141,11,44,61,72,15
王睿,110.60231254640823,125.76421038688636,-15.161897840478133,14.032681168071441,434,13,28,44,8,86,12,15,1,1,21,132,39,70,14,40,12,21,25
董瀚麟,106.8357404635051,122.23620376067531,-15.400463297170205,17.518370435366126,773,9,68,108,38,84,27,46,12,25,83,291,109,207,0,0,73,112,25
亚布塞莱,108.85493667284234,124.4937793158839,-15.638842643041556,28.86994226225299,388,0,20,76,23,30,16,30,17,14,45,253,64,116,26,78,47,61,14
葛昭宝,102.34524320160001,118.57040133645415,-16.22515813485414,19.55071245970879,375,26,34,44,21,59,12,16,6,0,29,136,51,114,4,18,22,28,27
许梦君,101.89047784802257,118.24489727996968,-16.354419431947107,18.187556308066103,295,3,1,7,7,24,6,16,0,0,9,119,13,31,29,70,6,10,28
贾明儒,115.6245474137686,132.24177806473747,-16.617230650968878,15.461897127137195,162,0,1,9,16,16,3,7,0,0,10,62,14,24,9,18,7,11,13
张帆,100.33260007342597,116.99284598817414,-16.660245914748174,19.2733880940407,594,1,8,33,46,47,18,37,1,0,17,247,50,110,46,105,9,16,28
杨林祎,98.74515365524468,115.8193747856185,-17.07422113037383,21.58054646713164,356,2,9,26,23,35,30,24,0,0,27,156,16,47,32,81,28,34,23
卢伟,106.44988067217727,123.96338745751224,-17.513506785334968,15.266201891090907,257,1,4,17,9,17,12,11,1,0,14,87,8,23,20,45,11,17,17
李英博,96.66639809828891,114.71064393178933,-18.044245833500426,12.772559325562034,48,0,6,8,0,23,1,3,2,0,8,11,4,6,0,1,3,10,8
凯弗-赛克斯,111.40331700249928,129.6670967563069,-18.263779753807626,34.18912639405204,538,12,19,61,91,31,22,37,2,8,105,423,125,230,32,97,77,85,15
罗汉琛,105.60852540257166,123.93613670151504,-18.32761129894338,19.190168676924685,612,10,10,37,59,35,17,28,1,0,53,262,61,125,29,81,53,64,26
韩硕,103.79499299549175,122.14385382878395,-18.348860833292193,19.304123106746562,211,0,7,37,20,15,11,15,0,0,26,89,13,27,16,40,15,21,10
卡梅伦-佩恩,96.07080856721946,114.72631225470742,-18.655503687487965,32.88836731700162,68,2,2,10,15,8,9,7,1,0,13,45,13,24,4,14,7,10,2
皮埃尔-杰克逊,111.41792360882872,130.2052394246788,-18.787315815850093,27.789855072463766,72,2,1,6,12,4,4,6,0,0,16,46,3,10,8,19,16,17,2
阿玛尔-斯塔德迈尔,108.60881810674627,127.42795852926714,-18.819140422520874,29.957024595000984,307,8,26,65,10,36,8,28,13,11,66,213,79,152,2,6,49,62,11
李金效,98.07624176885679,117.41479244738363,-19.338550678526843,13.93827481501395,206,0,11,29,2,63,2,11,6,0,8,57,22,47,1,2,10,12,23
崔晋铭,103.27232002880417,122.86204030809182,-19.589720279287647,16.88151080854786,947,27,25,79,70,63,22,41,6,0,79,335,103,201,21,76,66,88,28
黄毅超,107.50797739077085,127.19593788778424,-19.687960497013393,15.255041953690249,452,14,22,26,22,45,14,19,4,0,11,151,26,58,29,73,12,14,21
雷蒙,102.72728314974509,122.77090015766765,-20.043617007922563,20.645336472178922,634,19,28,65,44,45,29,28,1,0,54,273,68,140,31,101,44,55,19
陈辰,105.36844750730205,125.4217857344581,-20.053338227156047,15.671117078259941,827,23,26,81,38,78,22,29,2,2,28,289,42,92,61,161,22,31,28
阿尔斯兰,102.5325200526955,122.67316931366223,-20.140649260966725,22.37335546552749,599,4,10,28,65,54,27,34,2,0,59,286,44,97,50,145,48,55,26
鲍勒斯,110.37358805765174,130.69449003059873,-20.320901972946984,24.663399355043694,69,0,5,11,14,7,1,7,0,3,10,45,16,25,1,3,10,16,2
莫泰尤纳斯,100.76482178321598,121.14717153954048,-20.3823497563245,29.618240933955367,957,25,81,310,93,65,44,92,12,15,203,602,230,398,22,73,76,154,26
张庆鹏,96.26106929312617,116.69765476894241,-20.436585475816244,15.24557851684416,453,3,7,30,61,38,22,35,1,0,47,134,16,24,26,80,24,28,25
赵大鹏,98.55257067232722,119.13945423478555,-20.586883562458326,13.210869695100453,346,4,14,38,20,51,17,20,1,2,22,91,21,47,11,30,16,19,22
哈达迪,101.06003123293131,121.72755976638265,-20.667528533451346,22.583550181639684,771,19,80,270,124,95,21,97,60,28,100,343,123,211,6,28,79,107,25
张卓,98.3576319073057,119.0815399173474,-20.723908010041697,13.871935414823966,127,6,5,14,6,16,2,6,1,0,8,33,10,18,2,7,7,12,14
王奕博,97.95110864288749,118.92909824048868,-20.977989597601194,9.665432989553254,182,2,4,8,19,25,13,8,0,0,13,34,8,17,3,10,9,10,22
