球员,号码,出场时间,首发,2分中-投,3分中-投,罚球中-投,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,快攻,得分,Game_ID,球队
布鲁克斯,6,36,1,8-10(80%),2-10(20%),5-5(100%),0,3,9,3,2,1,0,1,5,0/0,27,2.0192E+12,广东
任骏飞,20,30,1,5-8(63%),3-6(50%),0-0(0%),1,1,1,3,3,0,0,1,1,0/0,19,2.0192E+12,广东
易建联,9,35,1,7-8(88%),0-0(0%),2-4(50%),1,11,2,2,1,1,2,5,3,0/0,16,2.0192E+12,广东
赵睿,10,31,1,5-9(56%),0-3(0%),0-1(0%),2,5,4,3,2,0,0,0,4,0/0,10,2.0192E+12,广东
胡明轩,3,13,1,0-1(0%),1-3(33%),0-0(0%),0,1,0,1,0,1,0,0,0,0/0,3,2.0192E+12,广东
威姆斯,13,31,0,5-9(56%),1-5(20%),1-2(50%),0,7,3,2,1,3,0,0,3,0/0,14,2.0192E+12,广东
杜润旺,18,14,0,2-2(100%),0-2(0%),2-2(100%),2,0,0,4,0,4,0,0,1,0/0,6,2.0192E+12,广东
曾繁日,22,11,0,2-3(67%),0-0(0%),2-4(50%),1,0,0,3,0,0,1,1,3,0/0,6,2.0192E+12,广东
徐杰,2,20,0,0-1(0%),1-3(33%),2-2(100%),0,0,1,2,2,0,0,0,3,0/0,5,2.0192E+12,广东
王薪凯,5,9,0,0-0(0%),0-1(0%),1-2(50%),0,1,1,1,0,0,0,0,0,0/0,1,2.0192E+12,广东
周鹏,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广东
李英博,17,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广东
刘旭乘,14,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广东
万圣伟,51,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广东
苏伟,12,3,0,0-0(0%),0-0(0%),0-0(0%),1,1,0,2,0,1,0,0,0,0/0,0,2.0192E+12,广东
方渭博,1,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广东
刘权标,0,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广东
广东,--,--,--,34-51(67%),8-33(24%),15-22(68%),8,30,21,26,11,11,3,8,23,0/0,107,2.0192E+12,广东
巴斯,30,30,1,5-15(33%),0-0(0%),10-11(91%),3,9,1,2,1,0,2,2,10,0/0,20,2.0192E+12,辽宁
郭艾伦,13,30,1,4-8(50%),0-2(0%),4-4(100%),0,4,5,4,0,6,0,0,2,0/0,12,2.0192E+12,辽宁
韩德君,55,24,1,4-6(67%),0-0(0%),2-3(67%),3,6,0,4,0,2,1,0,2,0/0,10,2.0192E+12,辽宁
刘志轩,11,16,1,1-1(100%),1-1(100%),0-0(0%),1,1,0,3,0,1,0,0,1,0/0,5,2.0192E+12,辽宁
赵继伟,3,33,1,1-2(50%),0-3(0%),2-2(100%),0,3,1,2,2,0,0,0,2,0/0,4,2.0192E+12,辽宁
史蒂芬森,1,41,0,10-17(59%),3-11(27%),5-7(71%),1,2,3,2,2,3,0,1,6,0/0,34,2.0192E+12,辽宁
丛明晨,10,12,0,0-0(0%),2-2(100%),0-0(0%),1,2,0,1,0,0,0,0,0,0/0,6,2.0192E+12,辽宁
李晓旭,22,28,0,3-8(38%),0-0(0%),0-0(0%),2,2,2,0,1,0,1,0,2,0/0,6,2.0192E+12,辽宁
贺天举,6,12,0,0-0(0%),0-2(0%),1-2(50%),2,0,0,2,0,1,0,0,1,0/0,1,2.0192E+12,辽宁
刘雁宇,17,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,辽宁
郭旭,15,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,辽宁
孙锴祺,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,辽宁
王化东,32,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,辽宁
高诗岩,0,9,0,0-1(0%),0-1(0%),0-0(0%),0,1,0,3,1,0,0,0,0,0/0,0,2.0192E+12,辽宁
卢梓杰,28,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,辽宁
马壮,8,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,辽宁
鄢手骐,36,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,辽宁
辽宁,--,--,--,28-58(48%),6-22(27%),24-29(83%),13,30,12,23,7,13,4,3,26,0/0,98,2.0192E+12,辽宁
拉杜利察,13,27,1,4-5(80%),0-0(0%),2-2(100%),3,4,8,5,2,3,0,1,6,0/0,10,2.0192E+12,江苏
易立,8,29,1,3-6(50%),0-4(0%),3-4(75%),0,2,4,3,1,2,1,0,3,0/0,9,2.0192E+12,江苏
黄荣奇,1,13,1,3-3(100%),1-2(50%),0-0(0%),2,1,1,4,0,1,0,0,1,0/0,9,2.0192E+12,江苏
史鸿飞,4,31,1,0-1(0%),2-5(40%),1-2(50%),0,0,3,4,3,3,0,0,4,0/0,7,2.0192E+12,江苏
柳伟,15,14,1,1-4(25%),0-1(0%),0-2(0%),1,2,1,3,0,0,0,0,2,0/0,2,2.0192E+12,江苏
布莱克尼,2,35,0,9-16(56%),3-7(43%),7-8(88%),1,3,3,3,0,3,3,1,6,0/0,34,2.0192E+12,江苏
吴冠希,11,31,0,6-9(67%),0-1(0%),3-5(60%),1,8,0,5,1,2,2,2,5,0/0,15,2.0192E+12,江苏
王洪,9,16,0,1-2(50%),0-1(0%),2-2(100%),0,2,0,1,0,0,0,0,1,0/0,4,2.0192E+12,江苏
赵率舟,24,21,0,0-1(0%),1-2(50%),0-0(0%),1,1,2,3,1,0,0,0,1,0/0,3,2.0192E+12,江苏
侯逸凡,31,16,0,0-0(0%),1-2(50%),0-0(0%),0,0,0,1,0,0,0,0,0,0/0,3,2.0192E+12,江苏
吴俣成,27,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,江苏
刘宇轩,21,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,江苏
赵旭昕,77,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,江苏
蒋浩然,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,江苏
刘剑阁,7,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,江苏
孙鑫,10,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,江苏
张稀然,6,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,江苏
江苏,--,--,--,27-47(57%),8-25(32%),18-25(72%),9,23,22,32,8,14,6,4,29,0/0,96,2.0192E+12,江苏
邓蒙,12,37,1,2-8(25%),3-6(50%),10-12(83%),1,2,3,1,0,2,0,0,13,0/0,23,2.0192E+12,浙江
朱旭航,21,36,1,3-4(75%),4-9(44%),0-0(0%),1,5,1,5,2,4,0,0,2,0/0,18,2.0192E+12,浙江
吴前,33,33,1,1-3(33%),0-2(0%),6-8(75%),0,2,6,6,1,3,0,0,6,0/0,8,2.0192E+12,浙江
张大宇,24,28,1,2-5(40%),1-2(50%),0-0(0%),2,5,3,4,2,1,0,0,3,0/0,7,2.0192E+12,浙江
程帅澎,6,14,1,0-0(0%),0-2(0%),0-0(0%),0,1,0,6,0,0,0,0,0,0/0,0,2.0192E+12,浙江
兰兹博格,1,34,0,7-14(50%),4-8(50%),7-8(88%),6,8,4,1,1,1,0,2,6,0/0,33,2.0192E+12,浙江
